Symbol,RSA_Down,RSA_Up,Q1,Q3
ACSL4,-0.613869261,-1.715299982,0.627376964,0.699776228
ACSL5,-0.242300378,-0.798878984,-0.003572468,0.678368059
ACSL6,-1.084851991,-0.666596858,-0.203977505,0.23064669
ACSM1,-0.446304107,-0.615581757,-0.137370797,0.379952023
ACSM2A,-0.572763588,-0.933106808,-0.236538471,0.258399483
ACSM2B,-0.902269743,-0.389040781,-0.865418487,-0.138128977
ACSM3,-0.908981872,-0.568380157,-0.145567841,0.254616666
ACSM4,-0.110844597,-2.239719018,0.397471947,1.054891363
ACSM5,-0.329435632,-1.035062356,-0.103939011,1.105272264
ACSM6,-0.91756605,-0.348792738,-0.919544967,0.17045564
ACSS1,-0.54830949,-0.441372536,-0.284082588,0.160972036
ACSS2,-0.822315204,-0.763851733,0.027643026,0.458286949
ACSS3,-0.628412949,-0.756656531,0.000387123,0.449189003
ACTA1,-0.741064918,-0.592338598,-0.394040938,0.653991377
ACTA2,-0.888915131,-0.302861701,-0.474474743,-0.127908385
ACTB,-0.037967035,-1.867312397,0.556041184,2.347535902
ACTBL2,-0.62040032,-1.258380276,0.183723726,1.622305415
ACTC1,-0.186227703,-1.613186605,0.493042787,1.211975564
ACTG1,-0.204840726,-1.553792114,-0.30356748,1.515016375
ACTG2,-0.208202307,-1.135320869,0.291172054,0.653013663
ACTL10,-1.15817814,-0.308008238,-0.926927257,0.00210359
ACTL6A,-0.021560028,-5.552134699,2.692079779,3.517305189
ACTL6B,-0.922271106,-0.354465474,-0.855169623,-0.12425619
ACTL7A,-0.231555401,-1.310690809,0.063323561,0.602281612
ACTL7B,-0.188040231,-1.465235496,0.313456061,0.758793857
ACTL8,-0.709635813,-0.38883553,-0.347180957,0.013072733
ACTL9,-0.855991202,-0.546699544,-0.250524549,0.254494131
ACTN1,-1.204616773,-0.110621023,-0.962740578,0.047739766
ACTN2,-0.599206006,-0.557935385,-0.511714154,0.198854521
ACTN4,-2.189006711,-0.101965118,-1.400602426,-0.749063045
ACTR10,-2.421172585,-0.31246031,-1.86943291,0.073073953
ACTR1A,-1.848559081,-0.137158332,-0.847291319,-0.598018384
ACTR1B,-0.514736795,-0.883063156,0.118235968,0.942985902
ACTR2,-1.183355962,-0.553156069,-0.681573372,0.004988892
ACTR3,-0.597991701,-0.963444088,-0.073307516,0.111248567
ACTR3B,-0.59172798,-0.656241912,-0.295043284,0.11710868
ACTR3C,-0.505838673,-0.888151901,-0.25704134,0.709173213
ACTR5,-0.422382469,-0.556936304,-0.405598868,0.761739356
ACTR6,-1.028840877,-0.556164984,-0.158081255,0.133813979
ACTR8,-0.639198686,-0.328151454,-0.872010111,0.519970511
ACTRT1,-0.982993062,-0.654420882,-0.957379938,-0.196257175
ACTRT2,-0.202994124,-1.000771161,0.065235145,1.345470516
ACTRT3,-0.33572453,-0.62904536,-0.3015876,0.922858969
ACVR1,-0.007108089,-5.580807295,2.712521882,2.898091645
ACVR1B,-1.191590164,-0.629062641,-1.174867836,-0.329455044
ACVR1C,-0.711631081,-0.778249692,0.0401298,0.31833253
ACVR2A,-0.471613615,-0.764070541,-0.348458423,0.639497165
ACVR2B,-0.392096686,-0.754273977,-0.074812979,0.674564847
ACVRL1,-0.599638133,-1.249235686,0.360580434,0.436181776
ACY1,-0.491319982,-1.012912814,-0.010878122,0.221177923
ACY3,-0.041521176,-4.375856787,1.943676032,2.42904033
ACYP1,-0.252903472,-1.076915229,-0.18105661,0.60035783
ACYP2,-0.212449135,-0.861450915,0.102821137,0.644071837
ADA,-0.590550722,-0.938223873,-0.142193463,0.611425377
ADAD1,-0.576890513,-0.350907156,-0.707908088,0.131947981
ADAD2,-3.38070617,-0.048670909,-2.04391322,-1.125927153
ADAL,-1.255088583,-0.366732328,-1.637122222,0.576584767
ADAM10,-0.718096088,-0.510868908,-0.833652723,0.096054055
ADAM11,-0.627127641,-2.12875992,-0.920900347,1.534039992
ADAM12,-1.329574606,-0.289350997,-0.496725239,0.094645965
ADAM15,-1.636383467,-0.491724374,-0.666600945,-0.585988883
ADAM17,-1.511633597,-0.426312067,-0.723024369,-0.518287701
ADAM18,-1.325980587,-0.336616226,-0.506092902,-0.410246461
ADAM19,-0.56835343,-0.351289728,-0.399374893,0.139633695
ADAM2,-0.568529657,-0.892492695,-0.279023053,0.598645718
ADAM20,-0.734157743,-1.076992146,-0.058973152,-0.006110852
ADAM21,-1.16141385,-0.355099758,-0.584192736,-0.311716252
ADAM22,-0.79087209,-0.706077145,-0.018178123,0.356134662
ADAM23,-0.90545374,-0.31052986,-1.246091437,0.062227497
ADAM28,-1.654989517,-0.701804884,-0.311657078,-0.084250414
ADAM29,-0.763669704,-0.921899536,0.146881856,0.299445125
ADAM30,-0.75868171,-0.781218469,-0.497547882,0.285743066
ADAM32,-1.007020988,-0.516453915,-0.801492853,0.206642132
ADAM33,-0.781803803,-0.332010499,-0.542891267,0.006726879
ADAM7,-0.522552851,-1.38459091,0.444996923,0.733108216
ADAM8,-0.507249528,-1.840803251,-0.770672309,1.299944901
ADAM9,-2.126816698,-0.214842369,-1.167133498,-0.532730442
ADAMDEC1,-0.833652003,-0.26713304,-1.162964997,0.417721527
ADAMTS1,-0.499217543,-0.695337194,-0.760084734,0.702343676
ADAMTS10,-0.694504615,-0.409872303,-0.651104415,0.587582488
ADAMTS12,-1.123084024,-0.213963612,-1.491053708,0.215397267
ADAMTS13,-0.567921138,-0.771774649,-0.474140093,0.600226732
ADAMTS14,-0.982433687,-0.574288605,-0.481625107,0.31485469
ADAMTS15,-0.504691294,-0.370233834,-0.709962294,0.582502389
ADAMTS16,-0.304982542,-0.719506013,-0.074918391,0.738829667
ADAMTS17,-0.593603399,-0.71456444,-0.354733452,0.436168444
ADAMTS18,-0.840642979,-0.449535909,-0.277376991,-0.092916048
ADAMTS19,-0.397545161,-0.854883355,-0.623821599,1.180331091
ADAMTS2,-0.443259402,-0.88005818,-0.297373562,0.957392236
ADAMTS20,-0.417608189,-1.038189637,-0.28055628,0.5932438
ADAMTS3,-0.192332003,-1.031927547,-0.145830991,0.69169118
ADAMTS4,-0.466447315,-0.560760658,-0.650164291,0.840078485
ADAMTS5,-1.584092685,-0.112200619,-2.015718476,-0.017581804
ADAMTS6,-0.344589063,-0.561785761,-0.352056168,0.598851101
ADAMTS7,-0.227906763,-1.113309455,-0.347084626,1.030401096
ADAMTS8,-0.612520889,-0.475845946,-0.851254664,0.172810065
ADAMTS9,-0.484807708,-0.598074386,-0.116321307,0.465206475
ADAMTSL1,-0.215721665,-1.007728653,-0.037023031,0.765780175
ADAMTSL2,-0.778524942,-1.205210462,-1.098346131,0.142886286
ADAMTSL3,-0.920146026,-0.526924376,-1.260414681,0.634018513
ADAMTSL4,-0.880096609,-1.160296221,-0.25172717,0.618634846
ADAMTSL5,-1.32759536,-1.867434332,-1.469642908,-0.411247057
ADAP1,-0.470798913,-1.04587212,-0.206127771,0.307176294
ADAP2,-0.354520622,-0.683422702,-0.24100993,0.83120847
ADAR,-1.78315862,-0.079171493,-2.027631018,-0.421080497
ADARB1,-1.956214382,-0.259032347,-2.482996879,0.008907575
ADARB2,-1.129792143,-0.742297861,0.01142546,0.46630413
ADAT1,-1.235440031,-0.143807033,-1.616370835,0.004484726
ADAT2,-0.181357057,-1.461651373,0.194373875,0.719017219
ADAT3,-1.631797166,-0.875678152,-0.125610897,0.352056847
ADCK1,-1.481854695,-0.12474531,-1.269329086,-0.241323552
ADCK2,-0.43009109,-0.59545939,-0.119027524,0.292371795
ADCK3,-0.504730066,-0.428837229,-0.2987412,0.285340061
ADCK4,-0.585190891,-0.45827399,-0.868803683,0.283322764
ADCK5,-0.745502164,-0.747408345,0.015174884,0.162002599
ADCY1,-0.312779174,-0.643921065,-0.301403006,0.529703223
ADCY10,-1.208094009,-0.222146144,-1.353759695,-0.339355271
ADCY2,-0.625434691,-0.481358284,-0.276005715,0.087370141
ADCY3,-0.525743014,-0.468937884,-0.50667352,0.288658442
ADCY4,-0.643155348,-0.761714508,-0.939794776,1.078236328
ADCY5,-0.680682134,-0.498612784,-0.822054571,0.304304447
ADCY6,-0.42164149,-1.004463878,-0.657777142,1.348623414
ADCY7,-1.049330025,-0.257033556,-0.616502654,-0.240776473
ADCY8,-0.168159553,-0.833616966,0.083169223,0.779920461
ADCY9,-0.494880649,-1.420616507,-0.194712696,1.812733932
ADCYAP1,-0.54137633,-0.612021107,-0.613501573,0.167830463
ADCYAP1R1,-0.235130703,-1.318386204,0.403428916,1.083404304
ADD1,-0.991123461,-0.665044162,-0.686943751,0.557867245
ADD2,-0.399667595,-2.15986113,-0.626838365,1.803956891
ADD3,-0.320445483,-1.220641458,0.343835244,0.44579203
ADGB,-1.007318924,-0.871480418,0.109922661,0.149185411
ADGRA1,-0.724620427,-1.497154106,0.508346623,0.539094025
ADGRA2,-0.124616699,-1.250626414,0.321771924,1.268317069
ADGRA3,-1.061891922,-0.403799277,-0.988459869,0.046103112
ADGRB1,-1.078420178,-0.365785144,-0.570570798,0.081544183
ADGRB2,-0.351269295,-0.844005187,-0.418127969,0.576995622
ADGRB3,-0.644022821,-1.421574671,0.007389493,0.070057588
ADGRD1,-0.394482719,-0.625455207,-0.222974101,0.918631901
ADGRD2,-0.604180674,-0.587663043,-0.320585292,0.138901211
ADGRE1,-1.193111766,-0.288715449,-1.07915007,-0.00116264
ADGRE2,-0.59535153,-0.275516979,-0.818097608,0.286864891
ADGRE3,-0.673899576,-0.441210586,-0.284797327,0.214661455
ADGRE5,-0.916505557,-0.574868393,-0.694813625,0.387916527
ADGRF1,-0.875686274,-0.482684011,-0.639539621,0.739427193
ADGRF2,-0.804324861,-0.437112308,-0.669415153,-0.064600788
ADGRF3,-0.805043217,-0.426739626,-0.946344006,0.235329396
ADGRF4,-0.150304511,-1.314953783,-0.181206857,1.586336825
ADGRF5,-0.685076497,-0.691636453,-0.398357471,0.567477918
ADGRG1,-1.582539574,-0.484122196,-1.208791771,0.741630816
ADGRG2,-2.697100626,-1.114924301,-1.959082676,-0.178161526
ADGRG3,-0.154990585,-1.429048685,0.470614939,0.833432306
ADGRG4,-1.963152791,-0.165276819,-1.510296543,-0.13932748
ADGRG5,-0.148484892,-1.317842167,0.130221533,1.503346343
ADGRG6,-0.580152585,-1.077628501,0.253569883,0.572245691
ADGRG7,-0.341226983,-0.619417428,-0.097763083,0.411503855
ADGRL1,-2.153549415,-0.228065517,-0.610276522,-0.369919303
ADGRL2,-0.640364066,-0.318808654,-0.547936327,0.073548147
ADGRL3,-0.739862102,-0.313088277,-0.716327255,-0.010920019
ADGRL4,-0.840435724,-0.219682908,-1.023700585,-0.092718684
ADGRV1,-0.627193328,-0.785845557,-0.461910255,0.614637591
ADH1A,-1.002519677,-1.229441554,-0.013568328,0.316275946
ADH1B,-0.408931472,-0.374403058,-0.366101138,0.317228117
ADH4,-1.00728399,-0.768627507,-1.360117483,1.08693319
ADH5,-0.701546048,-1.044090998,-0.120690575,0.495977574
ADH6,-1.195224156,-0.289491372,-1.152474899,-0.19123004
ADH7,-0.876268034,-0.494226772,-0.758235889,0.194698466
ADHFE1,-0.231532153,-2.027225545,0.462269668,1.462887588
ADI1,-1.252009054,-0.603030711,-1.391644262,0.892863224
ADIG,-0.513275628,-0.980318894,-0.77915399,0.92327048
ADIPOQ,-1.176551991,-0.446729055,-0.561403425,-0.320043617
ADIPOR1,-0.627363333,-0.293857757,-0.516160154,0.085444541
ADIPOR2,-0.498536251,-0.539096929,-0.759355034,0.443660473
ADIRF,-0.47789446,-0.92854047,-0.373026165,0.234958543
ADK,-0.408521068,-0.600425267,-0.639220239,0.504218628
ADM,-0.685975711,-1.805587269,0.181173503,0.594773293
ADM2,-0.282670267,-1.130785692,-0.185937039,1.488068018
ADM5,-0.256336371,-1.3420044,-0.284914021,1.105077818
ADNP,-2.720281674,-0.209161398,-1.275612639,-1.130079176
ADNP2,-0.705187026,-0.76414526,-1.012760691,1.08119635
ADO,-1.266648974,-0.331732003,-0.515738538,0.440584452
ADORA1,-0.665326023,-0.847808601,-0.444469218,0.387151532
ADORA2A,-1.700752707,-0.483462475,-2.163979204,0.740579176
ADORA2B,-0.692063874,-0.725485246,-0.001552072,0.564485414
ADORA3,-1.253502896,-0.182810992,-1.077414888,-0.206911685
ADPGK,-0.865431316,-0.57322098,-0.555089134,-0.110335851
ADPRH,-0.4751385,-1.282838578,-0.432832634,1.648624257
ADPRHL1,-0.684040913,-0.427016957,-0.30064118,0.034373306
ADPRHL2,-0.370647856,-0.894320445,-0.585430408,1.031164345
ADPRM,-0.467616197,-0.882251436,-0.719308432,0.847762054
ADRA1A,-0.302509267,-1.169385765,0.289015967,0.516765469
ADRA1B,-0.994076888,-0.688941928,-0.032867501,0.092876698
ADRA1D,-0.397444577,-0.679596594,-0.278466158,0.732143777
ADRA2A,-1.089024631,-0.167833219,-1.15629081,0.217802252
ADRA2B,-0.794515953,-0.858319859,-0.378857779,0.271220975
ADRA2C,-0.514642412,-0.627463503,-0.634705554,0.621720661
ADRB1,-0.950017321,-0.518248921,-0.198234167,0.116009105
ADRB2,-0.895922053,-0.692119586,-0.398811738,0.223257477
ADRB3,-0.975619695,-0.33461823,-1.323877578,0.530462101
ADRBK1,-0.53606109,-0.833528447,-0.454270408,0.428419936
ADRBK2,-0.57581246,-0.334829486,-0.491342103,0.132684014
ADRM1,-1.245664693,-2.714373458,0.009462526,3.455593923
ADSL,-1.073725589,-0.879777202,-0.420386163,-0.085826019
ADSS,-0.926032545,-0.729609366,0.001859191,0.909313997
ADSSL1,-0.487204344,-1.232124856,0.015639656,0.225053746
ADTRP,-0.032335658,-1.882261517,0.5366344,2.371120969
AEBP1,-1.620534413,-0.237200883,-0.592889778,-0.188855402
AEBP2,-1.370349919,-0.325895039,-0.640639947,-0.390284031
AEN,-0.430762801,-0.874585646,-0.407388902,0.665149993
AES,-3.617539335,-0.134571781,-3.149937563,-1.314447518
AFAP1,-0.877250387,-1.062138208,0.242975093,0.884846377
AFAP1L1,-0.748905287,-0.531000602,-0.285390282,0.465720535
AFAP1L2,-1.423197959,-0.119134785,-1.190403415,-0.468098153
AFF1,-0.490193324,-1.005043439,-0.748972526,0.381979818
AFF2,-0.604129383,-0.558251577,-0.156421277,0.105487534
AFF3,-0.798659464,-0.586350008,-1.122907677,0.733244423
AFF4,-1.84803384,-0.429866023,-2.349048016,-0.302334696
AFG3L2,-1.537127353,-2.095872897,-1.961382215,1.62139629
AFM,-0.943357581,-0.753585501,-0.31938809,-0.16744801
AFMID,-0.734786597,-0.233603997,-0.599622833,-0.006900934
AFP,-0.172061842,-0.936895072,0.157366984,0.742805925
AFTPH,-1.159182481,-0.824893079,-0.940307624,-0.310028307
AGA,-0.180414607,-1.126392775,0.114620033,0.721337684
AGAP1,-0.731483487,-1.228245457,0.131946735,0.45549403
AGAP2,-0.440925204,-0.547104393,-0.513440991,0.822597878
AGAP3,-0.292008338,-0.932602961,-0.208850445,0.528340055
AGAP4,-0.743911607,-0.577494632,-0.548921156,0.342092685
AGAP5,-0.897098277,-0.355135225,-1.236213224,-0.113832333
AGAP6,-0.563818083,-0.843452518,-0.169386316,0.45324304
AGAP7P,-0.593701651,-0.835901961,-0.297290594,0.115528685
AGAP9,-0.191756223,-1.618442876,0.573730935,0.714555579
AGBL1,-0.540292197,-0.470792179,-0.249337468,0.511166207
AGBL2,-0.419084821,-1.861822459,0.315053568,0.72598572
AGBL3,-0.807249912,-0.345100058,-0.408130464,0.329425541
AGBL4,-1.199580324,-0.730462909,-0.893598743,1.041403703
AGBL5,-0.886706896,-0.422533641,-0.655192553,0.378172439
AGER,-0.813257707,-0.487809915,-1.086882739,0.431107804
AGFG1,-0.534778433,-0.368446011,-0.403683925,0.174454744
AGFG2,-0.94758828,-0.333606998,-0.426432521,0.185751238
