Gene	sgRNA	Rep1|beta	Rep1|z	Rep1|p-value	Rep1|fdr	Rep1|wald-p-value	Rep1|wald-fdr	Rep2|beta	Rep2|z	Rep2|p-value	Rep2|fdr	Rep2|wald-p-value	Rep2|wald-fdr
LGALS1	6	0.0091852	0.047155	0.86158	0.92726	0.96239	0.9996	0.14635	0.75118	0.18422	0.35756	0.45255	0.81131
hsa-mir-5009	4	0.085334	0.71968	0.40033	0.60214	0.47172	0.9996	0.23372	1.9704	0.081264	0.21869	0.048797	0.64072
KIF2B	6	0.057099	0.38327	0.48971	0.67867	0.70152	0.9996	0.21138	1.418	0.056334	0.17536	0.15619	0.7059
CYP4F11	6	0.10271	0.78282	0.23123	0.4384	0.43373	0.9996	0.14917	1.1368	0.17635	0.34768	0.25562	0.73986
KCNJ9	6	-0.2477	-0.99745	0.009083	0.062108	0.31855	0.9996	0.14977	0.60414	0.1749	0.34605	0.54575	0.84244
IPO4	6	0.0036445	0.018177	0.90922	0.9533	0.9855	0.9996	0.21705	1.0826	0.049715	0.16212	0.27897	0.74807
LSMEM2	6	0.11432	0.88092	0.18548	0.38195	0.37836	0.9996	-0.15421	-1.1839	0.19905	0.37424	0.23647	0.73289
NTAN1	6	0.098052	0.52086	0.25278	0.46252	0.60247	0.9996	0.27448	1.4576	0.011692	0.064932	0.14495	0.70541
HOXA3	6	0.15201	0.63499	0.082327	0.23812	0.52543	0.9996	-0.22369	-0.92223	0.062856	0.18811	0.35641	0.77447
MECOM	6	0.21549	1.0442	0.014784	0.081644	0.29641	0.9996	0.0034072	0.016288	0.9526	0.97224	0.987	0.9965
LRP12	6	0.087778	0.55278	0.30443	0.51796	0.58041	0.9996	0.075244	0.47301	0.48638	0.64806	0.63621	0.87682
CHM	6	-0.39344	-2.1712	4.83E-05	0.0022779	0.029915	0.9996	0.12266	0.67936	0.26423	0.44481	0.49691	0.82612
GPR148	6	0.14443	1.0803	0.097546	0.26143	0.28001	0.9996	-0.12549	-0.92983	0.29312	0.47454	0.35246	0.77372
AMPD1	6	0.07145	0.53458	0.3955	0.59835	0.59294	0.9996	0.13395	1.002	0.22263	0.40178	0.31635	0.76322
GMPR	6	-0.18371	-1.3235	0.053725	0.18481	0.18566	0.9996	-0.020546	-0.14798	0.88013	0.93182	0.88236	0.96536
KDM3A	6	0.17115	0.8796	0.051116	0.1792	0.37908	0.9996	0.21741	1.1116	0.049522	0.16191	0.2663	0.74484
PRMT3	6	-0.10419	-0.72369	0.28297	0.49535	0.46926	0.9996	-0.086966	-0.60376	0.4686	0.63309	0.546	0.84249
GATM	6	0.23775	1.1988	0.007392	0.055355	0.23061	0.9996	0.14347	0.71974	0.19277	0.36769	0.47168	0.81744
SMIM3	6	0.13195	0.77931	0.12885	0.30872	0.4358	0.9996	0.23935	1.4133	0.029858	0.11767	0.15757	0.7059
STC1	6	0.11282	0.79032	0.19118	0.38955	0.42934	0.9996	-0.0027086	-0.018987	0.99483	0.99676	0.98485	0.9959
FAIM	6	0.10861	0.58514	0.20698	0.40878	0.55845	0.9996	-0.17888	-0.95566	0.13509	0.29559	0.33925	0.76962
TMEM99	6	0.03997	0.32468	0.61185	0.772	0.74542	0.9996	0.1119	0.90853	0.30713	0.48814	0.3636	0.77574
TGFB2	6	0.11719	0.62547	0.17465	0.36884	0.53166	0.9996	-0.011896	-0.063355	0.93917	0.96476	0.94948	0.98628
SEC16B	6	-0.1566	-0.85276	0.099043	0.26339	0.39379	0.9996	-0.22538	-1.2199	0.060972	0.18483	0.22249	0.73201
F2R	6	-0.17464	-0.84198	0.067011	0.21037	0.3998	0.9996	-0.17206	-0.82514	0.15108	0.31544	0.40929	0.79522
PPARA	6	-0.073175	-0.35336	0.45531	0.64841	0.72382	0.9996	-0.45698	-2.1917	0.00028988	0.0056764	0.028402	0.64072
EDDM3B	6	0.39825	1.6348	9.66E-05	0.0040568	0.1021	0.9996	0.48889	2.002	0	0	0.04529	0.64072
HRH2	6	-0.039961	-0.20669	0.71128	0.83967	0.83625	0.9996	-0.42881	-2.1876	0.00048314	0.0082576	0.0287	0.64072
OR4X2	6	-0.099402	-0.58593	0.30684	0.51921	0.55792	0.9996	-0.061623	-0.36278	0.61223	0.74947	0.71677	0.90744
KLF9	6	-0.58566	-2.5254	0	0	0.011556	0.9996	0.17832	0.77942	0.10615	0.25642	0.43573	0.80447
SLC23A3	6	0.058923	0.39788	0.47676	0.66761	0.69072	0.9996	0.3144	2.1232	0.0039134	0.033764	0.033738	0.64072
MROH2B	6	0.15401	0.83486	0.078703	0.23242	0.40379	0.9996	0.06288	0.3411	0.55952	0.71023	0.73302	0.91365
ZBTB45	6	-0.29702	-1.4579	0.0018359	0.022687	0.14487	0.9996	-0.2919	-1.4296	0.015992	0.079836	0.15283	0.7059
CYP2C8	6	-0.018161	-0.15254	0.89704	0.9475	0.87876	0.9996	-0.084049	-0.70457	0.48295	0.64507	0.48108	0.82075
SPINK4	6	-0.24106	-1.529	0.010484	0.0671	0.12627	0.9996	-0.25993	-1.6436	0.032274	0.12354	0.10027	0.67658
ACTR3C	6	-0.16909	-0.96854	0.075031	0.22501	0.33278	0.9996	0.16082	0.92216	0.14687	0.31062	0.35644	0.77447
LAMP3	6	0.035317	0.26487	0.64881	0.79721	0.79111	0.9996	-0.013705	-0.10262	0.9269	0.95825	0.91827	0.97668
ARHGAP35	6	0.090314	0.57533	0.29196	0.50531	0.56507	0.9996	0.023835	0.15163	0.81264	0.88948	0.87948	0.96485
CUL1	6	-0.30451	-1.1994	0.0013045	0.018455	0.23036	0.9996	-0.23742	-0.93432	0.047927	0.15915	0.35014	0.77372
KANSL2	6	-0.15441	-0.68942	0.10484	0.27248	0.49056	0.9996	-0.1516	-0.67453	0.20625	0.38311	0.49998	0.82632
PCSK6	6	-0.31003	-1.79	0.0010146	0.016154	0.073457	0.9996	0.058706	0.33995	0.58257	0.72735	0.73389	0.91419
AZI2	6	-0.027745	-0.17929	0.81423	0.90066	0.85771	0.9996	-0.14977	-0.9668	0.21219	0.38981	0.33365	0.76723
GOLGA3	6	0.053311	0.36691	0.51498	0.69968	0.71369	0.9996	-0.050452	-0.34626	0.68253	0.80176	0.72915	0.91212
CACNA2D4	6	0.13151	0.45005	0.13001	0.31027	0.65268	0.9996	0.63129	2.1624	0	0	0.030587	0.64072
POTEI	3	0.02696	0.037092	0.77563	0.87861	0.97041	0.9996	0.36774	0.50708	0.01947	0.090379	0.6121	0.86854
DYM	6	-0.11212	-0.97866	0.24558	0.45437	0.32775	0.9996	-0.005793	-0.050573	0.98299	0.98988	0.95967	0.98891
hsa-mir-140	4	-0.14855	-0.67534	0.20316	0.40413	0.49946	0.9996	0.44228	2.0143	0.00091796	0.012203	0.043977	0.64072
AKR7A3	6	0.12388	0.54326	0.15224	0.33907	0.58695	0.9996	-0.20636	-0.90335	0.084887	0.22422	0.36634	0.77616
SEC24B	6	-0.11135	-0.64203	0.2492	0.45837	0.52085	0.9996	-0.32676	-1.882	0.0073437	0.049722	0.059837	0.64316
ACTL6A	6	0.11556	0.5149	0.18089	0.37681	0.60662	0.9996	0.28766	1.2809	0.0083583	0.053944	0.20023	0.7218
C2CD4A	6	0.40869	1.579	4.83E-05	0.0022779	0.11433	0.9996	0.24801	0.95588	0.024302	0.1041	0.33913	0.76962
WNT2	6	0.13539	0.59631	0.12001	0.29614	0.55097	0.9996	0.093098	0.40737	0.39308	0.56835	0.68373	0.89408
TUSC3	6	0.23618	1.5099	0.0079718	0.057935	0.13107	0.9996	-0.070644	-0.44874	0.56001	0.71049	0.65362	0.88309
SPATA31A5	3	-0.0016175	-0.0069307	0.95526	0.97944	0.99447	0.9996	0.17489	0.7489	0.2564	0.43665	0.45392	0.81154
TMEM235	6	-0.15977	-0.78949	0.092183	0.25308	0.42983	0.9996	0.01586	0.078298	0.86554	0.92146	0.93759	0.98246
KDM1A	6	0.18012	1.5623	0.040584	0.15594	0.11823	0.9996	-0.16817	-1.4549	0.16117	0.32818	0.1457	0.70541
BACE1	6	-0.10088	-0.86889	0.29945	0.51274	0.38491	0.9996	0.10298	0.88686	0.34462	0.52387	0.37515	0.77883
STYXL1	6	-0.14939	-0.87801	0.11803	0.29303	0.37994	0.9996	-0.2926	-1.7065	0.01575	0.079184	0.087917	0.66123
TLX1	6	-0.44484	-2.0072	0	0	0.044733	0.9996	0.21736	0.98791	0.04957	0.16191	0.3232	0.76497
WBP1	6	0.085958	0.3747	0.31269	0.52494	0.70788	0.9996	0.16804	0.7301	0.12938	0.28762	0.46533	0.81459
PRKACA	6	0.040206	0.24749	0.6102	0.77095	0.80453	0.9996	0.051696	0.3171	0.62542	0.75949	0.75116	0.92173
NTS	6	0.026377	0.15144	0.7207	0.84611	0.87963	0.9996	-0.28613	-1.6208	0.018021	0.086163	0.10507	0.68142
EGF	6	0.11361	0.85237	0.18784	0.3851	0.39401	0.9996	0.017296	0.12923	0.85612	0.916	0.89718	0.97075
LOC100129636	6	-0.090324	-0.6042	0.3525	0.56063	0.54571	0.9996	-0.1673	-1.1131	0.16388	0.33213	0.26568	0.74484
MOCOS	6	-0.23132	-1.6352	0.013431	0.077308	0.10201	0.9996	-0.06639	-0.46898	0.5844	0.72859	0.63909	0.87773
TMEM183A	6	0.0033724	0.028002	0.91139	0.95466	0.97766	0.9996	0.15381	1.2768	0.16441	0.33284	0.20167	0.72269
PCDHA1	6	-0.035219	-0.27229	0.75017	0.86292	0.7854	0.9996	0.35546	2.7479	0.00091796	0.012203	0.0059977	0.57842
PHACTR1	6	-0.073557	-0.38352	0.45299	0.64649	0.70134	0.9996	0.10172	0.52995	0.35052	0.52956	0.59614	0.86112
USP17L2	6	0.44401	2.0394	0	0	0.041415	0.9996	0.075276	0.34288	0.48628	0.64802	0.73169	0.91331
ABCE1	6	-0.099286	-0.46267	0.30747	0.51998	0.6436	0.9996	-0.039308	-0.18223	0.75428	0.85158	0.8554	0.95613
PRPF4	6	0.13056	0.50674	0.13267	0.31379	0.61234	0.9996	-0.25546	-0.98106	0.034931	0.12985	0.32656	0.76577
hsa-mir-6770-1	4	0.11504	0.44344	0.26998	0.48202	0.65744	0.9996	-0.028433	-0.10857	0.85897	0.91782	0.91354	0.9758
ZBTB26	6	-0.015703	-0.10261	0.91811	0.95834	0.91827	0.9996	0.036486	0.23798	0.72625	0.83298	0.8119	0.94244
IARS2	6	0.26326	0.4872	0.0031887	0.032011	0.62612	0.9996	0.6041	1.1215	0	0	0.26207	0.74376
MAB21L3	6	0.15435	0.89045	0.077882	0.23081	0.37323	0.9996	0.061159	0.35156	0.56977	0.71777	0.72516	0.91066
OR4C12	6	-0.0088275	-0.050555	0.97831	0.99104	0.95968	0.9996	0.14886	0.85209	0.17717	0.34867	0.39416	0.78706
DPY19L4	6	0.24823	0.97711	0.0051213	0.043265	0.32851	0.9996	-0.094625	-0.36684	0.42961	0.60049	0.71374	0.90623
TANK	6	-0.25396	-1.6209	0.0079235	0.057706	0.10503	0.9996	0.053413	0.34147	0.61523	0.7518	0.73275	0.91351
PALM2	6	0.18714	0.92863	0.033481	0.13813	0.35308	0.9996	0.24493	1.2112	0.026186	0.10945	0.22583	0.73289
FAM81A	6	0.11016	0.65252	0.20113	0.40222	0.51407	0.9996	-0.067841	-0.40024	0.57605	0.72265	0.68898	0.89638
FAM208B	6	0.14803	0.56652	0.08967	0.24896	0.57104	0.9996	0.0053015	0.019901	0.93903	0.96476	0.98412	0.99563
hsa-mir-1538	4	0.29737	1.4945	0.0072954	0.054929	0.13504	0.9996	0.31171	1.5685	0.01976	0.09103	0.11677	0.69213
hsa-mir-3910-1	4	0.060042	0.47275	0.5401	0.7196	0.63639	0.9996	-0.11335	-0.89193	0.44661	0.61492	0.37243	0.77783
ZNF655	6	0.1338	0.8876	0.12407	0.30244	0.37476	0.9996	0.10829	0.71524	0.32163	0.50204	0.47446	0.81824
BEST3	6	-0.030008	-0.29968	0.79471	0.88962	0.76442	0.9996	-0.07947	-0.79022	0.50903	0.66755	0.4294	0.80197
RNF113B	6	0.19622	0.99478	0.025751	0.11622	0.31984	0.9996	0.057388	0.28978	0.59107	0.73306	0.77199	0.92915
ZNF532	6	0.039812	0.14522	0.61344	0.77317	0.88454	0.9996	0.15408	0.56118	0.16359	0.33173	0.57467	0.85298
GABRQ	6	-0.12298	-0.74026	0.20166	0.40256	0.45914	0.9996	-0.15344	-0.92028	0.20113	0.37695	0.35743	0.77447
DHX40	6	-0.13385	-0.74308	0.16055	0.35041	0.45743	0.9996	-0.054239	-0.30006	0.65745	0.7836	0.76414	0.92724
OR2T4	6	0.20408	1.3872	0.020727	0.10197	0.16538	0.9996	0.068323	0.46238	0.52725	0.68257	0.64381	0.87929
OR2T3	6	-0.10821	-0.77303	0.26375	0.47474	0.4395	0.9996	-0.073305	-0.5236	0.54363	0.69715	0.60056	0.86304
ADH1B	6	0.030909	0.27583	0.68417	0.82207	0.78268	0.9996	0.18121	1.6166	0.10044	0.24726	0.10597	0.68142
ALS2	6	0.14573	0.69957	0.094599	0.25669	0.48419	0.9996	-0.12613	-0.60199	0.29119	0.47282	0.54718	0.84286
AP1S3	6	0.20844	1.3849	0.017538	0.090479	0.16608	0.9996	0.074466	0.49377	0.49135	0.65301	0.62147	0.87135
HEATR4	6	0.17236	0.6418	0.04986	0.17717	0.521	0.9996	0.37142	1.3825	0.00062808	0.0096726	0.16683	0.7102
COL16A1	6	0.17393	0.94014	0.047348	0.17151	0.34715	0.9996	0.25042	1.3529	0.023142	0.10095	0.1761	0.71487
TCF19	6	-0.036134	-0.22704	0.74263	0.85891	0.82039	0.9996	-0.077556	-0.48698	0.51913	0.67532	0.62628	0.87373
FLYWCH2	6	0.10553	0.63983	0.21891	0.42405	0.52229	0.9996	0.30466	1.8471	0.0057977	0.044101	0.064735	0.64709
IL9R_X	6	0.14986	0.98527	0.086675	0.24508	0.32449	0.9996	0.17083	1.1231	0.12325	0.28061	0.26141	0.74363
C7orf33	6	-0.17967	-1.2856	0.059233	0.1955	0.19859	0.9996	-0.16865	-1.2014	0.15948	0.32586	0.22958	0.73289
ABCB8	6	-0.0012213	-0.0084928	0.95642	0.9799	0.99322	0.9996	0.4833	3.3634	0	0	0.00076997	0.3622
TUBB4B	6	-0.23588	-0.97384	0.011934	0.072243	0.33013	0.9996	0.41624	1.7288	0.00014494	0.0037406	0.083849	0.65739
PHKA2	6	0.086363	0.58171	0.3109	0.52347	0.56076	0.9996	0.2086	1.4046	0.059716	0.18206	0.16014	0.7059
FOSB	6	0.10078	0.69733	0.23983	0.44785	0.4856	0.9996	-0.47004	-3.2495	0.00014494	0.0037406	0.0011559	0.38971
STEAP1	6	0.013383	0.090325	0.82699	0.90797	0.92803	0.9996	-0.28003	-1.883	0.02092	0.094894	0.059701	0.64316
RIPPLY3	4	0.14612	0.59124	0.16924	0.36173	0.55436	0.9996	0.45027	1.824	0.00082134	0.011549	0.068159	0.64874
hsa-mir-4256	4	0.021226	0.11611	0.79196	0.88788	0.90756	0.9996	-0.34277	-1.8521	0.025655	0.10799	0.064018	0.64709
THUMPD3	6	-0.02095	-0.13669	0.87385	0.93516	0.89128	0.9996	-0.36363	-2.3529	0.0034786	0.031277	0.01863	0.6378
PSMA5	6	-0.42344	-0.99358	4.83E-05	0.0022779	0.32043	0.9996	0.13593	0.32049	0.21616	0.39393	0.7486	0.92075
C1orf227	6	0.082023	0.64769	0.33351	0.54252	0.51718	0.9996	0.0083001	0.065432	0.91917	0.95454	0.94783	0.98599
ACTR10	6	0.065294	0.38628	0.43449	0.63126	0.69929	0.9996	-0.1851	-1.0946	0.12117	0.27774	0.2737	0.74618
CTR9	6	-0.16119	-0.94175	0.089526	0.24886	0.34632	0.9996	-0.19288	-1.1197	0.10692	0.25748	0.26282	0.74376
FZD5	6	0.15292	0.91633	0.080587	0.23523	0.35949	0.9996	0.036477	0.21791	0.72625	0.83298	0.8275	0.94732
BRMS1	6	-0.11118	-0.57478	0.25022	0.4597	0.56544	0.9996	0.27434	1.4197	0.01174	0.065043	0.15568	0.7059
SCGB2A1	6	0.041478	0.18039	0.60185	0.7656	0.85685	0.9996	0.21961	0.9543	0.047251	0.15779	0.33993	0.76962
NHEJ1	6	0.26387	1.562	0.0030921	0.031388	0.11829	0.9996	0.22332	1.3234	0.043676	0.15079	0.18571	0.71487
NIPA1	6	-0.26597	-1.3425	0.0056527	0.046136	0.17943	0.9996	-0.14037	-0.70726	0.24234	0.42173	0.4794	0.82002
C1orf233	6	0.22312	1.1747	0.011644	0.07126	0.24012	0.9996	0.26205	1.3782	0.016572	0.08126	0.16814	0.71152
HEMK1	6	-0.20256	-1.2424	0.032322	0.13529	0.21409	0.9996	0.19711	1.2103	0.0745	0.20717	0.22616	0.73289
hsa-mir-4278	4	-0.069061	-0.46738	0.57556	0.74573	0.64023	0.9996	0.16969	1.1485	0.20673	0.3838	0.25077	0.73848
TAS2R13	6	-0.23306	-1.9191	0.012851	0.074866	0.054965	0.9996	0.093062	0.76687	0.39313	0.56835	0.44316	0.80809
OR9Q1	6	-0.039865	-0.25347	0.71224	0.84034	0.79991	0.9996	-0.0068441	-0.043547	0.97594	0.98585	0.96527	0.99041
HPCAL4	6	-0.11341	-0.65272	0.2394	0.44753	0.51394	0.9996	-0.25984	-1.4823	0.03237	0.12384	0.13827	0.70378
LOC286238	6	0.040539	0.24094	0.60842	0.77003	0.8096	0.9996	0.082269	0.4885	0.44946	0.61732	0.62519	0.87317
SNX17	6	0.020879	0.14746	0.76486	0.87228	0.88277	0.9996	-0.097796	-0.68846	0.4141	0.58661	0.49116	0.82435
ARHGEF26	6	-0.27557	-1.3556	0.0041067	0.037929	0.17523	0.9996	0.044611	0.22053	0.6718	0.79317	0.82545	0.94659
MRPS35	6	0.29566	1.421	0.0013045	0.018455	0.1553	0.9996	-0.23847	-1.1315	0.047348	0.15799	0.25784	0.74099
C10orf120	6	0.0030811	0.021398	0.91458	0.95679	0.98293	0.9996	-0.20427	-1.4139	0.08798	0.22909	0.1574	0.7059
SMLR1	6	0.081541	0.68338	0.3353	0.54444	0.49437	0.9996	-0.040069	-0.33577	0.74988	0.84861	0.73705	0.91514
OR2M3	6	-0.26351	-1.5678	0.0059426	0.047527	0.11692	0.9996	0.066235	0.39502	0.53996	0.69386	0.69283	0.89791
MOGAT2	6	0.049065	0.24496	0.54421	0.72242	0.80649	0.9996	-0.18943	-0.93465	0.11243	0.26494	0.34997	0.77372
SVOPL	6	-0.033488	-0.15127	0.7651	0.87241	0.87976	0.9996	0.030912	0.13921	0.7636	0.8578	0.88929	0.96765
ALKBH4	6	-0.23749	-1.6696	0.011692	0.071344	0.094997	0.9996	-0.052337	-0.36786	0.66915	0.7917	0.71297	0.90584
ZNF280A	6	0.0057777	0.016337	0.89067	0.94403	0.98697	0.9996	0.19224	0.54323	0.08194	0.21958	0.58697	0.85775
LPIN3	6	-0.1842	-0.99867	0.053	0.18299	0.31795	0.9996	0.036809	0.19959	0.72432	0.83183	0.8418	0.95258
ZNF365	6	0.072739	0.44074	0.38753	0.59104	0.6594	0.9996	0.19843	1.2012	0.073002	0.20502	0.22967	0.73289
RPF1	6	0.11747	0.57524	0.17359	0.36757	0.56513	0.9996	0.1408	0.68295	0.20041	0.37596	0.49464	0.82585
BEGAIN	6	0.12346	0.83848	0.15383	0.34159	0.40176	0.9996	0.093423	0.63372	0.39149	0.56732	0.52626	0.83603
ZNF26	6	0.093846	0.45533	0.27384	0.48623	0.64887	0.9996	0.014703	0.070937	0.87463	0.92798	0.94345	0.9846
C22orf43	6	0.15375	0.45436	0.079283	0.23326	0.64957	0.9996	-0.22033	-0.62754	0.066432	0.19404	0.53031	0.83728
hsa-mir-1292	4	-0.085772	-0.43074	0.47584	0.6666	0.66666	0.9996	-0.0023036	-0.011568	0.99531	0.99705	0.99077	0.99737
STRIP2	6	-0.0096281	-0.072123	0.97169	0.98821	0.9425	0.9996	0.15347	1.15	0.16528	0.33408	0.25016	0.73848
USO1	6	-0.30653	-1.4742	0.0012078	0.018195	0.14042	0.9996	0.14372	0.69193	0.19229	0.36729	0.48898	0.82358
LRRK1	6	0.22402	0.76035	0.01145	0.070578	0.44705	0.9996	0.22013	0.74482	0.046719	0.15673	0.45638	0.81201
TSLP	6	0.23979	1.1396	0.0069572	0.052805	0.25445	0.9996	-0.19952	-0.94201	0.095227	0.23952	0.34619	0.7726
FANCF	6	-0.06705	-0.28497	0.49986	0.68699	0.77566	0.9996	0.46132	1.971	4.83E-05	0.0020576	0.048727	0.64072
TAS2R50	6	-0.0079944	-0.063551	0.98473	0.99332	0.94933	0.9996	0.095982	0.76249	0.37757	0.55426	0.44577	0.80923
UBE2O	6	-0.11214	-0.75171	0.24553	0.45432	0.45222	0.9996	0.17633	1.1827	0.1102	0.26218	0.23693	0.73289
ZNF514	6	-0.030757	-0.13384	0.78906	0.88616	0.89353	0.9996	0.013707	0.059512	0.88221	0.93297	0.95254	0.98689
RBBP6	6	-0.15076	-0.7243	0.11392	0.28669	0.46888	0.9996	0.25254	1.219	0.022031	0.098149	0.22286	0.7323
DEFB127	6	0.032444	0.2711	0.67122	0.81317	0.78632	0.9996	-0.11123	-0.922	0.35395	0.53276	0.35653	0.77447
CD177	6	-0.10554	-0.59239	0.27621	0.48834	0.55359	0.9996	0.27507	1.5472	0.011547	0.064438	0.12183	0.69315
PPA1	6	-0.20933	-1.6169	0.026089	0.11706	0.1059	0.9996	0.15583	1.2054	0.15915	0.32543	0.22806	0.73289
TRPC3	6	-0.0039175	-0.024595	0.97855	0.99114	0.98038	0.9996	-0.078507	-0.49057	0.51411	0.67157	0.62373	0.87259
HERC5	6	0.032354	0.19066	0.67209	0.81394	0.84879	0.9996	-0.39759	-2.335	0.0013528	0.015828	0.019545	0.6378
EMC2	6	-0.26646	-1.4358	0.0056527	0.046136	0.15105	0.9996	0.046107	0.24895	0.66229	0.78732	0.8034	0.9399
WDR55	6	-0.33637	-1.5257	0.0003382	0.0080092	0.12709	0.9996	0.30092	1.3738	0.0064257	0.046618	0.1695	0.71285
SYCE2	6	0.17681	0.82485	0.043627	0.16326	0.40946	0.9996	0.31561	1.471	0.0037685	0.032856	0.1413	0.70378
IQGAP2	6	0.14308	0.78454	0.10088	0.2666	0.43272	0.9996	0.09201	0.50507	0.39859	0.57363	0.61351	0.86956
CHL1	6	-0.22983	-1.1945	0.014156	0.079728	0.23228	0.9996	0.12919	0.67413	0.23954	0.41868	0.50023	0.82632
DOK2	6	-0.042545	-0.2601	0.68987	0.82596	0.79479	0.9996	0.12942	0.79103	0.23886	0.41802	0.42893	0.80151
EBF3	6	0.034334	0.19123	0.65567	0.80193	0.84834	0.9996	-0.21202	-1.1759	0.076916	0.21148	0.23963	0.73299
FAM171A2	6	-0.20809	-1.1085	0.027007	0.11991	0.26766	0.9996	0.046074	0.24572	0.66243	0.7874	0.8059	0.94091
MTX3	6	0.061151	0.33867	0.46106	0.65341	0.73486	0.9996	-0.14176	-0.78189	0.23741	0.41683	0.43428	0.80374
hsa-mir-18b	4	-0.36999	-1.5622	0.0021258	0.024691	0.11824	0.9996	0.14228	0.60652	0.28974	0.47157	0.54417	0.84217
GNAQ	6	0.088487	0.64603	0.30075	0.51421	0.51826	0.9996	-0.14535	-1.0503	0.22596	0.40529	0.29357	0.75297
SRGAP2B	6	0.33206	1.4344	0.00048314	0.0097466	0.15145	0.9996	0.056866	0.24542	0.59421	0.7355	0.80613	0.94101
PIP5K1B	6	0.28803	1.8705	0.001546	0.020619	0.061413	0.9996	-0.21693	-1.384	0.070152	0.20006	0.16636	0.7102
ROM1	6	0.14366	0.85889	0.099043	0.26339	0.3904	0.9996	0.14303	0.85188	0.19393	0.36878	0.39428	0.78706
CMTR1	6	0.024484	0.15668	0.73505	0.85438	0.8755	0.9996	0.15285	0.97837	0.16712	0.33625	0.32789	0.76626
F8	6	-0.14237	-0.68365	0.13562	0.31793	0.4942	0.9996	-0.097388	-0.46594	0.41647	0.58879	0.64126	0.87847
PCDHGA3	2	0.12349	0.47683	0.38786	0.59125	0.63349	0.9996	0.19311	0.74551	0.30433	0.48495	0.45596	0.81189
ZFAND2A	6	-0.23803	-1.1707	0.011305	0.070102	0.2417	0.9996	-0.11847	-0.58178	0.32288	0.50316	0.56071	0.84854
PXMP2	6	0.080696	0.49729	0.33994	0.54917	0.61898	0.9996	0.24428	1.5038	0.026621	0.11044	0.13262	0.70145
ZAR1L	6	0.36155	1.8315	0.00019326	0.0058224	0.067031	0.9996	-0.061093	-0.30618	0.61547	0.75187	0.75947	0.92538
POU2F2	6	0.061855	0.37313	0.45608	0.6488	0.70905	0.9996	-0.31166	-1.8633	0.010581	0.062166	0.06242	0.64634
ACCSL	6	-0.064257	-0.32907	0.51947	0.7032	0.74211	0.9996	0.16274	0.83353	0.14185	0.30485	0.40454	0.79289
CARD6	6	-0.23765	-1.2873	0.011644	0.07126	0.198	0.9996	0.07977	0.43262	0.46241	0.62789	0.66529	0.88691
