id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
NPRL2,4,0.00030487,0.00061719,0.27435,43,2
TAS2R43,4,0.00034009,0.00067935,0.295117,44,1
DSTYK,4,0.00037495,0.00074048,0.314521,45,2
A1BG,4,0.0003924,0.00076379,0.31737,46,1
TNPO3,4,0.00044471,0.00081403,0.331051,47,1
ZNF792,4,0.00049702,0.00087257,0.347463,48,1
NRTN,4,0.00054933,0.00091919,0.358557,49,1
ANKMY2,4,0.00060164,0.00096373,0.368416,50,1
CHST4,4,0.00065394,0.0010228,0.383324,51,1
NRIP3,4,0.00070624,0.0010715,0.39385,52,1
C20orf78,4,0.00075854,0.0011165,0.402671,53,1
TRIM64C,4,0.00081084,0.0011533,0.408232,54,1
CCL17,4,0.00091542,0.0012559,0.436454,55,1
WDR70,4,0.00096772,0.0013041,0.445103,56,1
AKR1C2,4,0.00102,0.0013559,0.454664,57,1
MAFF,4,0.0010723,0.0014149,0.466285,58,1
CCDC88A,4,0.0011769,0.0015175,0.491609,59,1
HKR1,4,0.0012291,0.0015817,0.503878,60,1
VPS13A,4,0.0012814,0.0016268,0.509739,61,1
USP17L13,4,0.001386,0.0017299,0.533296,62,1
DLX6,4,0.0014382,0.001777,0.539132,63,1
CREB3L4,4,0.0014905,0.0018293,0.546334,64,1
BCAS2,4,0.0015428,0.0018739,0.551028,65,1
PDP2,4,0.001595,0.0019277,0.558281,66,1
DNAJB11,4,0.0016473,0.0019842,0.566056,67,1
LTC4S,4,0.0017518,0.0020728,0.58263,68,1
MMP1,4,0.0018563,0.0021624,0.59901,69,1
SPEM1,4,0.0019609,0.0022639,0.618175,70,1
RAPGEFL1,4,0.0020131,0.0023219,0.625087,71,1
OCRL,4,0.0020654,0.0023763,0.630844,72,1
TPBG,4,0.0021176,0.0024281,0.635766,73,1
ADD3,4,0.0021698,0.0024877,0.642561,74,1
C5orf63,4,0.0022221,0.0025452,0.648647,75,1
TEX38,4,0.0022743,0.0025959,0.652879,76,1
MNDA,4,0.0023788,0.0027037,0.671146,77,1
GATA1,4,0.002431,0.0027524,0.674473,78,1
NUPR1,4,0.0025355,0.002842,0.687617,79,1
CYB5R4,4,0.0025877,0.0028948,0.691646,80,1
FBXL20,4,0.0026399,0.0029456,0.695086,81,1
ASXL1,4,0.0026922,0.0029974,0.698684,82,1
AMY1B,4,0.0027966,0.0031082,0.715794,83,1
FAM111A,4,0.002901,0.0032056,0.729432,84,1
RHBG,4,0.0030577,0.0033589,0.755329,85,1
MICAL3,4,0.0031099,0.0034128,0.758519,86,1
HUNK,4,0.0031621,0.0034646,0.761181,87,1
ZNF630,4,0.0032143,0.0035123,0.762883,88,1
ZNF234,4,0.0032665,0.0035636,0.765324,89,1
DPCD,4,0.0033187,0.003619,0.768592,90,1
SLC26A4,4,0.0033709,0.0036744,0.771788,91,1
NPR2,4,0.0035796,0.0038858,0.807307,92,1
PHIP,4,0.0036318,0.0039422,0.810231,93,1
CDX2,4,0.003684,0.0039951,0.812355,94,1
SPNS3,4,0.0037884,0.0040935,0.823606,95,1
SPATA17,4,0.0038927,0.0041883,0.833901,96,1
TDRD3,4,0.0040493,0.0043514,0.857456,97,1
SGPP1,4,0.0041536,0.0044514,0.868206,98,1
CPO,4,0.0042057,0.0045006,0.868937,99,1
MYO15A,4,0.0043622,0.0046519,0.889158,100,1
NME8,4,0.0044144,0.0047125,0.891824,101,1
ID4,4,0.0044665,0.0047627,0.892483,102,1
LRRC23,4,0.0045187,0.0048093,0.892483,103,1
FOLR3,4,0.004623,0.0049083,0.902085,104,1
SLC6A12,4,0.0047794,0.0050616,0.921405,105,1
EGLN1,4,0.0048837,0.0051538,0.929339,106,1
MASP2,4,0.0049358,0.0052035,0.929536,107,1
SLCO5A1,4,0.004988,0.0052636,0.931564,108,1
FPGS,4,0.0050922,0.0053729,0.942184,109,1
NCK1,4,0.0051965,0.0054786,0.95198,110,1
C12orf66,4,0.0053007,0.0055832,0.961422,111,1
INO80B,4,0.0053528,0.0056366,0.961943,112,1
ADRA1A,4,0.0055092,0.0057816,0.977964,113,1
USF2,4,0.0055613,0.0058427,0.979633,114,1
EXO1,4,0.0057176,0.0059862,0.992342,115,1
ANGPTL3,4,0.0057697,0.0060277,0.992342,116,1
MAGT1,4,0.0058218,0.0060743,0.992342,117,1
SLC13A3,4,0.0058739,0.0061297,0.99291,118,1
BACH1,4,0.0059781,0.0062302,1,119,1
AKR1A1,4,0.0060823,0.0063245,1,120,1
SUMO3,4,0.0061865,0.0064245,1,121,1
ARL17B,4,0.0062385,0.0064757,1,122,1
SDHAF3,4,0.0062906,0.0065203,1,123,1
WFDC5,4,0.0063948,0.0066254,1,124,1
PAPD4,4,0.0064989,0.0067187,1,125,1
PRRT4,4,0.006551,0.006772,1,126,1
SOX2,4,0.0066031,0.0068223,1,127,1
MARK3,4,0.0066551,0.0068756,1,128,1
KEAP1,4,0.0067593,0.0069792,1,129,1
PPP1CA,4,0.0068113,0.0070264,1,130,1
HNRNPA1L2,4,0.0068634,0.0070823,1,131,1
TET2,4,0.0069154,0.0071289,1,132,1
ZNF572,4,0.0070196,0.0072273,1,133,1
SMUG1,4,0.0070716,0.0072828,1,134,1
PLAT,4,0.0071237,0.0073486,1,135,1
TMEM191C,4,0.0071757,0.0073967,1,136,1
MUC15,4,0.0072798,0.0074957,1,137,1
MLLT6,4,0.0073318,0.007548,1,138,1
JOSD1,4,0.0073839,0.0075962,1,139,1
CASQ1,4,0.0074359,0.0076511,1,140,1
CCDC148,4,0.0074879,0.0077065,1,141,1
ZIC5,4,0.00754,0.0077469,1,142,1
OTX2,4,0.0077481,0.0079541,1,143,1
ATRAID,4,0.0078521,0.0080629,1,144,1
C14orf178,4,0.0080602,0.0082685,1,145,1
LPCAT2,4,0.0081122,0.0083255,1,146,1
GABRR3,4,0.0081642,0.0083752,1,147,1
MED24,4,0.0082162,0.0084275,1,148,1
APLN,4,0.0082682,0.0084804,1,149,1
RPS21,4,0.0083202,0.0085332,1,150,1
TMEM210,4,0.0083722,0.0085923,1,151,1
C11orf1,4,0.0084762,0.0086985,1,152,1
SLC38A4,4,0.0085282,0.0087497,1,153,1
HN1L,4,0.0085802,0.0088088,1,154,1
DNALI1,4,0.0086322,0.0088663,1,155,1
WDR61,4,0.0086842,0.0089134,1,156,1
TMEM145,4,0.0087362,0.0089621,1,157,1
RABGEF1,4,0.0087881,0.0090134,1,158,1
MKRN2,4,0.0088401,0.0090569,1,159,1
BMP5,4,0.0088921,0.0091103,1,160,1
NPAS3,4,0.0089961,0.009218,1,161,1
ALOX12,4,0.009048,0.0092667,1,162,1
BCHE,4,0.009152,0.0093615,1,163,1
TNFAIP8L1,4,0.0092039,0.0094169,1,164,1
YWHAE,4,0.0093079,0.0095159,1,165,1
TFDP1,4,0.0093598,0.0095739,1,166,1
CCND2,4,0.0094118,0.009634,1,167,1
NKX2-3,4,0.0094637,0.0096811,1,168,1
PPP1R3C,4,0.0095157,0.0097355,1,169,1
CAMTA1,4,0.0095677,0.0098039,1,170,1
FYN,4,0.0096716,0.0099028,1,171,1
OR2T34,4,0.0097235,0.0099505,1,172,1
ZNF425,4,0.0097754,0.010002,1,173,1
PTGIS,4,0.0098274,0.010046,1,174,1
LRRIQ4,4,0.0099313,0.010152,1,175,1
ANKRD42,4,0.010087,0.010307,1,176,1
NBEAL2,4,0.010139,0.010354,1,177,1
OSGIN1,4,0.010191,0.010405,1,178,1
KCTD20,4,0.010243,0.010462,1,179,1
ZNF154,4,0.010295,0.010508,1,180,1
TBCC,4,0.010347,0.010565,1,181,1
C10orf99,4,0.010399,0.010618,1,182,1
HLA-DQB1,4,0.010451,0.010668,1,183,1
LTF,4,0.010502,0.010719,1,184,1
CABIN1,4,0.010554,0.010773,1,185,1
ATP6V1D,4,0.010606,0.010829,1,186,1
LGALS3,4,0.010762,0.010975,1,187,1
UVRAG,4,0.010814,0.011018,1,188,1
STAB2,4,0.010918,0.011131,1,189,1
LRP12,4,0.011022,0.011223,1,190,1
POU4F3,4,0.011073,0.011272,1,191,1
THAP11,4,0.011125,0.011332,1,192,1
SLC9A3R2,4,0.011177,0.011383,1,193,1
PCDHGB6,4,0.011229,0.011426,1,194,1
FGF13,4,0.011281,0.011475,1,195,1
PI4K2B,4,0.011333,0.011529,1,196,1
TXNRD3NB,4,0.011385,0.011578,1,197,1
LRRC24,4,0.011437,0.011627,1,198,1
PEX5L,4,0.011488,0.011676,1,199,1
BHLHE23,4,0.01154,0.011725,1,200,1
SLC29A1,4,0.011592,0.011779,1,201,1
OXCT2,4,0.011644,0.011837,1,202,1
GNG3,4,0.011696,0.011885,1,203,1
CDH22,4,0.011748,0.011937,1,204,1
ADRA1D,4,0.0118,0.011985,1,205,1
CSRNP2,4,0.011903,0.012094,1,206,1
KIF27,4,0.011955,0.012147,1,207,1
ARFGAP1,4,0.012007,0.012202,1,208,1
ACTN1,4,0.012059,0.012245,1,209,1
PDIA6,4,0.012111,0.012288,1,210,1
ZNF696,4,0.012215,0.012383,1,211,1
AVL9,4,0.01237,0.012539,1,212,1
PXYLP1,4,0.012422,0.012591,1,213,1
PREB,4,0.012474,0.012641,1,214,1
MEF2B,4,0.012526,0.012696,1,215,1
KLK14,4,0.012577,0.012742,1,216,1
OR10G9,4,0.012629,0.012797,1,217,1
PRODH,4,0.012681,0.012843,1,218,1
SCO1,4,0.012785,0.012941,1,219,1
PSMB9,4,0.012837,0.013002,1,220,1
TPD52L3,4,0.012888,0.013054,1,221,1
MBD3L2,4,0.01294,0.013107,1,222,1
ID2,4,0.013044,0.013201,1,223,1
ANKRD26,4,0.013096,0.013241,1,224,1
GPRIN2,4,0.013199,0.013347,1,225,1
FMOD,4,0.013458,0.013618,1,226,1
GNL1,4,0.01351,0.013669,1,227,1
MTFMT,4,0.013665,0.013816,1,228,1
HTR2A,4,0.013769,0.013914,1,229,1
PRMT9,4,0.013873,0.013997,1,230,1
C1orf228,4,0.013924,0.014044,1,231,1
GPRC5C,4,0.013976,0.014093,1,232,1
EPHB3,4,0.014028,0.014147,1,233,1
CFL2,4,0.01408,0.014194,1,234,1
SETD2,4,0.014235,0.014338,1,235,1
TPPP3,4,0.014287,0.014391,1,236,1
DDTL,4,0.014339,0.014433,1,237,1
PA2G4,4,0.01439,0.014479,1,238,1
KRT86,4,0.014494,0.014574,1,239,1
ACP2,4,0.014597,0.014676,1,240,1
ANKRD13C,4,0.014649,0.014725,1,241,1
ATP5SL,4,0.014701,0.014773,1,242,1
ADCY4,4,0.014753,0.014827,1,243,1
DEDD2,4,0.014804,0.014869,1,244,1
ITPR3,4,0.014856,0.014917,1,245,1
USP31,4,0.014908,0.014976,1,246,1
IL25,4,0.01496,0.015025,1,247,1
C9orf139,4,0.015011,0.015069,1,248,1
CTAGE9,4,0.015115,0.015165,1,249,1
GPR75,4,0.015167,0.015218,1,250,1
CCDC158,4,0.015218,0.01527,1,251,1
AMN,4,0.01527,0.015327,1,252,1
RRNAD1,4,0.015322,0.01538,1,253,1
EMILIN1,4,0.015373,0.01544,1,254,1
ACVR2A,4,0.015425,0.015489,1,255,1
EBNA1BP2,4,0.015529,0.015583,1,256,1
RC3H2,4,0.015735,0.015776,1,257,1
MFAP2,4,0.015787,0.015823,1,258,1
CLLU1,4,0.015839,0.015877,1,259,1
RBM8A,4,0.015891,0.015932,1,260,1
TRMT5,4,0.015942,0.015985,1,261,1
RPS4Y2,4,0.015994,0.016038,1,262,1
FBXO4,4,0.016046,0.016085,1,263,1
HSPA4L,4,0.016097,0.016132,1,264,1
CAPG,4,0.016149,0.016193,1,265,1
ZNF772,4,0.016201,0.016239,1,266,1
FAM222A,4,0.016252,0.016285,1,267,1
IL2RG,4,0.016304,0.016335,1,268,1
RBM12B,4,0.016408,0.016429,1,269,1
RHOU,4,0.016459,0.016479,1,270,1
MYLK,4,0.016511,0.016532,1,271,1
C20orf203,4,0.016563,0.016588,1,272,1
AKAP13,4,0.016614,0.016638,1,273,1
CORT,4,0.016666,0.01669,1,274,1
UMPS,4,0.016718,0.016729,1,275,1
GCM1,4,0.016769,0.016787,1,276,1
SSX2IP,4,0.016821,0.016843,1,277,1
DCP2,4,0.016873,0.016894,1,278,1
KLF4,4,0.016924,0.016946,1,279,1
KANK1,4,0.016976,0.017001,1,280,1
GRXCR1,4,0.017028,0.017058,1,281,1
ARMCX1,4,0.017079,0.017111,1,282,1
EN1,4,0.017183,0.017202,1,283,1
ATP6V1C1,4,0.017234,0.017252,1,284,1
MLXIP,4,0.017337,0.017348,1,285,1
AKAP6,4,0.017544,0.017539,1,286,1
DPYSL5,4,0.017596,0.017592,1,287,1
SERPINA4,4,0.017699,0.017701,1,288,1
MTM1,4,0.017751,0.017748,1,289,1
RAB2A,4,0.017802,0.017794,1,290,1
ATG7,4,0.017905,0.01789,1,291,1
IFNB1,4,0.017957,0.017932,1,292,1
KCNG1,4,0.018009,0.017987,1,293,1
NPIPA3,4,0.01806,0.018037,1,294,1
CHRNA1,4,0.018112,0.018086,1,295,1
SLC22A20,4,0.018164,0.018137,1,296,1
AIFM2,4,0.018318,0.018291,1,297,1
FCRL2,4,0.01837,0.018336,1,298,1
EEPD1,4,0.018422,0.018387,1,299,1
MRPL19,4,0.018473,0.018448,1,300,1
DNAJC5G,4,0.018525,0.018505,1,301,1
GPT,4,0.018576,0.018548,1,302,1
TNFRSF19,4,0.018628,0.018593,1,303,1
RYR1,4,0.018731,0.018698,1,304,1
SPATA2,4,0.018783,0.018756,1,305,1
VWA5A,4,0.018834,0.018805,1,306,1
ZSCAN21,4,0.018886,0.018859,1,307,1
CTSS,4,0.019041,0.01902,1,308,1
CRYGC,4,0.019092,0.019072,1,309,1
POM121,4,0.019144,0.019128,1,310,1
STK17A,4,0.019195,0.019181,1,311,1
PAFAH1B2,4,0.019299,0.019286,1,312,1
ZNF177,4,0.01935,0.019343,1,313,1
CIB2,4,0.019402,0.019397,1,314,1
PTF1A,4,0.019505,0.019493,1,315,1
DNAJC14,4,0.019556,0.019545,1,316,1
RASSF2,4,0.019608,0.019602,1,317,1
LMBRD2,4,0.019711,0.019691,1,318,1
CHML,4,0.019763,0.019743,1,319,1
RPS4X,4,0.019917,0.019895,1,320,1
RNF125,4,0.019969,0.019938,1,321,1
HTN3,4,0.02002,0.019993,1,322,1
NAV1,4,0.020072,0.020045,1,323,1
FOSB,4,0.020123,0.020092,1,324,1
PABPC1L2B,4,0.020175,0.020147,1,325,1
ISG20,4,0.020226,0.020192,1,326,1
SPATA2L,4,0.020278,0.020248,1,327,1
DYRK2,4,0.02033,0.020293,1,328,1
APOBEC3H,4,0.020381,0.02034,1,329,1
SLX4,4,0.020484,0.02044,1,330,1
EMC7,4,0.020536,0.020491,1,331,1
FAM21C,4,0.020587,0.020539,1,332,1
EPPIN,4,0.020639,0.020591,1,333,1
OXSM,4,0.02069,0.020638,1,334,1
CHST8,4,0.020742,0.020692,1,335,1
RSG1,4,0.020793,0.020748,1,336,1
CLTC,4,0.020845,0.020807,1,337,1
LGALS7B,4,0.020896,0.020853,1,338,1
DQX1,4,0.020999,0.020964,1,339,1
GNPTAB,4,0.021051,0.021017,1,340,1
SLIT1,4,0.021102,0.021065,1,341,1
MFSD12,4,0.021205,0.02117,1,342,1
RAB44,4,0.021257,0.021226,1,343,1
GDAP2,4,0.021308,0.02128,1,344,1
GLYATL3,4,0.02136,0.021337,1,345,1
OXLD1,4,0.021411,0.02139,1,346,1
P2RY4,4,0.021463,0.021437,1,347,1
PROX2,4,0.021514,0.021498,1,348,1
FLOT1,4,0.021566,0.021555,1,349,1
SALL4,4,0.021617,0.021597,1,350,1
FAM163A,4,0.02172,0.021696,1,351,1
RBM48,4,0.021772,0.021756,1,352,1
FAM47A,4,0.021823,0.021809,1,353,1
NFE2L2,4,0.021874,0.021865,1,354,1
PAK3,4,0.022029,0.022031,1,355,1
CCDC6,4,0.02208,0.022086,1,356,1
GJA1,4,0.022132,0.022129,1,357,1
COX8C,4,0.022183,0.022185,1,358,1
DDAH2,4,0.022235,0.022239,1,359,1
GPC5,4,0.022286,0.022298,1,360,1
TSHR,4,0.022338,0.022342,1,361,1
COMMD6,4,0.022389,0.022395,1,362,1
SMR3B,4,0.02244,0.022446,1,363,1
ZNF224,4,0.022492,0.022496,1,364,1
FBXO3,4,0.022543,0.022549,1,365,1
PLA2G4C,4,0.022595,0.022609,1,366,1
EFTUD1,4,0.022646,0.022658,1,367,1
SHBG,4,0.022698,0.022703,1,368,1
ATP6AP1,4,0.022749,0.022753,1,369,1
TNFSF12,4,0.022852,0.022856,1,370,1
PPM1K,4,0.022903,0.022899,1,371,1
AGO2,4,0.022955,0.022944,1,372,1
FAM218A,4,0.023006,0.022995,1,373,1
NOL3,4,0.023058,0.023052,1,374,1
UCHL5,4,0.023109,0.02311,1,375,1
TNFRSF1A,4,0.023212,0.023209,1,376,1
TESK2,4,0.023263,0.023253,1,377,1
VPS54,4,0.023315,0.023305,1,378,1
AP4S1,4,0.023366,0.023362,1,379,1
DUSP13,4,0.023418,0.023405,1,380,1
ZNF608,4,0.023469,0.023467,1,381,1
TBPL1,4,0.02352,0.02352,1,382,1
ALKBH3,4,0.023572,0.023571,1,383,1
MAL,4,0.023623,0.023615,1,384,1
ACADS,4,0.023675,0.023666,1,385,1
PPP1R13L,4,0.023726,0.023715,1,386,1
PTGFRN,4,0.023829,0.023801,1,387,1
SIRT1,4,0.02388,0.023852,1,388,1
TSPYL5,4,0.023932,0.023906,1,389,1
C1orf159,4,0.023983,0.023955,1,390,1
ZKSCAN5,4,0.024034,0.024007,1,391,1
GPR137B,4,0.024086,0.02406,1,392,1
PLCB4,4,0.024137,0.024115,1,393,1
M6PR,4,0.024188,0.024172,1,394,1
KRTAP9-1,4,0.02424,0.024213,1,395,1
IRF1,4,0.024291,0.02427,1,396,1
ZNF771,4,0.024343,0.024325,1,397,1
AP5B1,4,0.024394,0.024376,1,398,1
KIAA0319L,4,0.024497,0.024473,1,399,1
EXOC6,4,0.024548,0.024524,1,400,1
ZNF671,4,0.024599,0.024572,1,401,1
KLHL1,4,0.024651,0.02462,1,402,1
SDC2,4,0.024702,0.024672,1,403,1
TRMT112,4,0.024753,0.024724,1,404,1
ARPC2,4,0.024805,0.024776,1,405,1
CMTM5,4,0.024856,0.024826,1,406,1
POLR2B,4,0.024907,0.024875,1,407,1
FAM132A,4,0.024959,0.024933,1,408,1
GCSH,4,0.02501,0.024984,1,409,1
RC3H1,4,0.025062,0.025036,1,410,1
CLSTN1,4,0.025113,0.025078,1,411,1
SLC36A3,4,0.025216,0.025182,1,412,1
DUSP27,4,0.025267,0.025226,1,413,1
C17orf58,4,0.025318,0.025276,1,414,1
MLC1,4,0.02537,0.025334,1,415,1
SP2,4,0.025421,0.025381,1,416,1
IFITM1,4,0.025472,0.025429,1,417,1
VMA21,4,0.025524,0.025481,1,418,1
BTBD16,4,0.025575,0.025532,1,419,1
SACS,4,0.025626,0.025579,1,420,1
CT47A3,4,0.025677,0.025625,1,421,1
PABPN1,4,0.025729,0.025677,1,422,1
ZNF221,4,0.02578,0.025734,1,423,1
MAL2,4,0.025831,0.025779,1,424,1
PSME1,4,0.025883,0.02583,1,425,1
AKR1C1,4,0.025985,0.025934,1,426,1
ZHX3,4,0.026037,0.025987,1,427,1
POLR2A,4,0.026139,0.026099,1,428,1
LIN28B,4,0.026242,0.026195,1,429,1
PTMS,4,0.026293,0.026241,1,430,1
SPAG8,4,0.026396,0.02634,1,431,1
PLSCR5,4,0.026447,0.026387,1,432,1
PIGP,4,0.026498,0.02644,1,433,1
KDM5A,4,0.02655,0.026494,1,434,1
KIAA0319,4,0.026652,0.026589,1,435,1
SPINK13,4,0.026755,0.02669,1,436,1
ATP6V1H,4,0.026806,0.026745,1,437,1
ASB7,4,0.026857,0.026803,1,438,1
RHOH,4,0.02696,0.026915,1,439,1
CYP26A1,4,0.027011,0.026971,1,440,1
SLC35A2,4,0.027114,0.027087,1,441,1
ZSCAN31,4,0.027165,0.027143,1,442,1
PSTK,4,0.027216,0.027195,1,443,1
FBXO6,4,0.027267,0.027246,1,444,1
VIPR1,4,0.027319,0.027296,1,445,1
YY1,4,0.02737,0.027351,1,446,1
MYEOV,4,0.027421,0.027395,1,447,1
A3GALT2,4,0.027472,0.027444,1,448,1
STAM2,4,0.027524,0.027489,1,449,1
THNSL1,4,0.027575,0.027541,1,450,1
TMEM251,4,0.027626,0.027594,1,451,1
ZFYVE26,4,0.027677,0.027648,1,452,1
STOML1,4,0.027729,0.0277,1,453,1
ZZEF1,4,0.02778,0.027755,1,454,1
COG4,4,0.027882,0.027853,1,455,1
MC3R,4,0.027933,0.027895,1,456,1
FAM98A,4,0.027985,0.027946,1,457,1
ZMYND11,4,0.028036,0.027997,1,458,1
C3orf70,4,0.028087,0.028057,1,459,1
BPHL,4,0.028138,0.028098,1,460,1
C8orf22,4,0.02819,0.028145,1,461,1
PPP2R5B,4,0.028241,0.028192,1,462,1
KIAA1549L,4,0.028292,0.028234,1,463,1
ZNF83,4,0.028394,0.028341,1,464,1
IGHMBP2,4,0.028446,0.028386,1,465,1
ITCH,4,0.028497,0.028438,1,466,1
GALR1,4,0.028548,0.028493,1,467,1
SLC27A1,4,0.028599,0.028549,1,468,1
FAM219B,4,0.02865,0.028594,1,469,1
TMSB15B,4,0.028702,0.028643,1,470,1
FMO1,4,0.028753,0.028692,1,471,1
CCDC8,4,0.028804,0.028743,1,472,1
SEMA3E,4,0.028855,0.028784,1,473,1
USP17L20,4,0.028906,0.028828,1,474,1
PPIAL4A,4,0.028958,0.028877,1,475,1
CDKN2B,4,0.029009,0.028931,1,476,1
MYNN,4,0.02906,0.028981,1,477,1
NGB,4,0.029111,0.029046,1,478,1
BZW2,4,0.029162,0.029098,1,479,1
SLC2A7,4,0.029214,0.029148,1,480,1
FAH,4,0.029265,0.0292,1,481,1
ZXDC,4,0.029316,0.029245,1,482,1
LCK,4,0.029367,0.029288,1,483,1
ABAT,4,0.029418,0.029339,1,484,1
GNG12,4,0.029469,0.029386,1,485,1
OR2L13,4,0.029521,0.029442,1,486,1
LOC100131303,4,0.029572,0.029488,1,487,1
RADIL,4,0.029623,0.029534,1,488,1
RRM2,4,0.029674,0.029592,1,489,1
NDOR1,4,0.029725,0.029637,1,490,1
C18orf32,4,0.029776,0.029698,1,491,1
CERS2,4,0.029828,0.029747,1,492,1
AP5Z1,4,0.029879,0.029799,1,493,1
SLC12A7,4,0.02993,0.029859,1,494,1
ATP6V1A,4,0.029981,0.029911,1,495,1
PIK3CG,4,0.030032,0.029963,1,496,1
NRXN1,4,0.030083,0.030009,1,497,1
TRAPPC2L,4,0.030134,0.030059,1,498,1
GALNT1,4,0.030186,0.030112,1,499,1
RPL38,4,0.030237,0.030164,1,500,1
GFAP,4,0.030288,0.030228,1,501,1
PCDH18,4,0.030339,0.03028,1,502,1
NOMO3,4,0.03039,0.030331,1,503,1
ADCY2,4,0.030441,0.030375,1,504,1
HOXD4,4,0.030492,0.030426,1,505,1
BZRAP1,4,0.030543,0.030488,1,506,1
CST5,4,0.030595,0.030551,1,507,1
ZNF214,4,0.030646,0.030601,1,508,1
NUDC,4,0.030697,0.030656,1,509,1
GPATCH8,4,0.030799,0.030763,1,510,1
DAP,4,0.03085,0.030824,1,511,1
TCEB1,4,0.030901,0.03087,1,512,1
CPSF7,4,0.030952,0.030923,1,513,1
BTF3,4,0.031003,0.030973,1,514,1
CBX2,4,0.031055,0.031031,1,515,1
EXOC8,4,0.031157,0.031135,1,516,1
PTPRD,4,0.031208,0.031192,1,517,1
TSC22D3,4,0.031259,0.031243,1,518,1
GFM2,4,0.03131,0.031282,1,519,1
AMPH,4,0.031361,0.031344,1,520,1
FANCA,4,0.031463,0.031447,1,521,1
CIRBP,4,0.031514,0.031493,1,522,1
CTNNB1,4,0.031566,0.031549,1,523,1
CASP10,4,0.031617,0.031597,1,524,1
CDCA3,4,0.031668,0.031646,1,525,1
PCDHGA11,4,0.031719,0.031701,1,526,0
LEMD1,4,0.03177,0.031744,1,527,0
HLX,4,0.031821,0.031799,1,528,0
ANKRD18A,4,0.031872,0.031846,1,529,0
SPATA25,4,0.031974,0.031941,1,530,0
SFRP2,4,0.032025,0.032001,1,531,0
FOXI3,4,0.032076,0.032055,1,532,0
PHACTR2,4,0.032127,0.032101,1,533,0
METTL24,4,0.032178,0.032149,1,534,0
GALNTL5,4,0.032229,0.032196,1,535,0
C19orf53,4,0.032281,0.032247,1,536,0
KRTAP25-1,4,0.032383,0.032347,1,537,0
SNX27,4,0.032434,0.032392,1,538,0
TM7SF2,4,0.032485,0.032444,1,539,0
WFDC6,4,0.032587,0.032535,1,540,0
ATP6V1F,4,0.032638,0.032591,1,541,0
VIT,4,0.032689,0.032634,1,542,0
AP5M1,4,0.03274,0.032684,1,543,0
APOBEC3D,4,0.032791,0.032721,1,544,0
CLVS2,4,0.032842,0.032775,1,545,0
STAB1,4,0.032893,0.032827,1,546,0
LIMA1,4,0.032944,0.032882,1,547,0
ZMIZ1,4,0.032995,0.032919,1,548,0
KPTN,4,0.033046,0.032972,1,549,0
