id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SPOCD1	3	0.00013093	0.00039999	0.204308	37	3	-1.3458	0.99768	0.99773	1.0	18808	0	-1.3458
CHD7	3	0.00015477	0.00047281	0.235149	38	2	-0.94559	0.86801	0.86804	1.0	16198	0	-0.94559
KIDINS220	3	0.0001686	0.00051105	0.239435	39	2	-1.5678	0.86393	0.86394	1.0	16113	0	-1.5678
SIN3B	3	0.00016896	0.00051472	0.239435	40	3	-0.6	0.99983	0.99983	1.0	18873	0	-0.6
SPRYD3	3	0.00017018	0.00051944	0.239435	41	3	-0.73981	0.99971	0.9997	1.0	18866	0	-0.73981
ITGB2	3	0.00021852	0.00065565	0.295026	42	2	-0.57279	0.95571	0.95601	1.0	17928	0	-0.57279
ZACN	3	0.00023946	0.00071432	0.303379	43	3	-0.60788	0.99976	0.99975	1.0	18872	0	-0.60788
WAS	3	0.00023996	0.00071537	0.303379	44	3	-1.2573	0.99976	0.99975	1.0	18871	0	-1.2573
POTEF	3	0.00024477	0.00073214	0.303379	45	3	-0.81105	0.99976	0.99974	1.0	18869	0	-0.81105
LOC101927322	3	0.00024755	0.00073842	0.303379	46	3	-1.1007	0.9996	0.9996	1.0	18863	0	-1.1007
BACE1	3	0.00027742	0.0008322	0.334632	47	3	-0.53168	0.99972	0.99971	1.0	18868	0	-0.53168
TLN1	3	0.00029111	0.0008673	0.341481	48	2	-0.58497	0.95109	0.95136	1.0	17828	0	-0.58497
RELA	3	0.00030874	0.00091	0.35098	49	3	-1.4447	0.99969	0.99968	1.0	18865	0	-1.4447
AQP3	3	0.00031314	0.00093121	0.35198	50	2	-0.83262	0.52462	0.54588	1.0	9988	1	-0.83262
KCNC1	3	0.00033696	0.0010093	0.374005	51	3	-0.56024	0.99966	0.99965	1.0	18864	0	-0.56024
VPS35	3	0.00039458	0.0011672	0.424219	52	3	-0.47406	0.99835	0.99839	1.0	18825	0	-0.47406
CPAMD8	3	0.00040953	0.0012099	0.43144	53	3	-0.51466	0.99959	0.99959	1.0	18862	0	-0.51466
BCL11B	3	0.00044025	0.0013116	0.459021	54	3	-0.75131	0.99868	0.99872	1.0	18834	0	-0.75131
RRAS2	3	0.00046981	0.0013996	0.477811	55	3	-1.4687	0.99705	0.99709	1.0	18798	0	-1.4687
THRSP	3	0.00047626	0.0014158	0.477811	56	3	-0.46569	0.99952	0.99952	1.0	18861	0	-0.46569
JUN	3	0.00049361	0.0014562	0.482804	57	3	-0.66771	0.99949	0.99949	1.0	18860	0	-0.66771
NCOR1	3	0.00057188	0.001673	0.526245	58	3	-0.59976	0.99943	0.99944	1.0	18859	0	-0.59976
SCRIB	3	0.00057861	0.001694	0.526245	59	3	-0.75089	0.99942	0.99943	1.0	18858	0	-0.75089
TATDN3	3	0.00057953	0.0016961	0.526245	60	3	-0.52932	0.99942	0.99943	1.0	18857	0	-0.52932
CHD3	3	0.00058657	0.0017144	0.526245	61	2	-0.69398	0.77776	0.7779	1.0	14447	0	-0.69398
OR8U1	3	0.00059388	0.0017354	0.526245	62	2	-0.56407	0.1986	0.30819	1.0	5641	1	-0.56407
MALT1	3	0.0006005	0.0017542	0.526245	63	2	-0.64198	0.9293	0.92943	1.0	17387	0	-0.64198
ZSWIM2	3	0.00063711	0.0018616	0.542979	64	3	-0.6892	0.99936	0.99938	1.0	18856	0	-0.6892
COG4	3	0.00064402	0.001881	0.542979	65	3	-0.62181	0.99506	0.99518	1.0	18751	0	-0.62181
TRIM21	3	0.00064938	0.0018962	0.542979	66	3	-0.84012	0.99523	0.99534	1.0	18753	0	-0.84012
LOXL3	3	0.00071026	0.0020529	0.562135	67	3	-0.62815	0.99929	0.9993	1.0	18855	0	-0.62815
RHOG	3	0.00073719	0.0021372	0.562135	68	3	-0.594	0.99926	0.99927	1.0	18854	0	-0.594
TRIM51	3	0.00074408	0.0021566	0.562135	69	3	-0.52321	0.99926	0.99926	1.0	18853	0	-0.52321
COL28A1	3	0.0007528	0.0021781	0.562135	70	2	-0.99634	0.62882	0.63196	1.0	11661	1	-0.99634
SLC30A9	3	0.00075559	0.0021875	0.562135	71	3	-0.43795	0.99924	0.99925	1.0	18852	0	-0.43795
SYNJ2BP	3	0.00076128	0.0022048	0.562135	72	3	-0.42396	0.99924	0.99925	1.0	18851	0	-0.42396
PTPRC	3	0.00077105	0.0022305	0.562135	73	3	-1.362	0.99799	0.99805	1.0	18813	0	-1.362
RNF146	3	0.00078052	0.0022561	0.562135	74	3	-0.60019	0.99922	0.99923	1.0	18850	0	-0.60019
CD6	3	0.00078903	0.0022823	0.562135	75	3	-0.84974	0.99921	0.99922	1.0	18849	0	-0.84974
OLFM4	3	0.00079374	0.0022954	0.562135	76	3	-0.70562	0.98851	0.98865	1.0	18610	0	-0.70562
LCAT	3	0.00080327	0.00232	0.562135	77	3	-0.47363	0.9992	0.9992	1.0	18848	0	-0.47363
NDFIP2	3	0.00086794	0.002494	0.596629	78	1	0.089357	0.54635	0.56273	1.0	10304	1	0.089357
AFAP1L2	3	0.00088151	0.0025317	0.59791	79	2	-0.70888	0.90947	0.90961	1.0	17022	0	-0.70888
ZSWIM8	3	0.00089135	0.0025626	0.59791	80	2	-0.68415	0.95481	0.95514	1.0	17908	0	-0.68415
XPOT	3	0.00091766	0.002638	0.602111	81	3	-0.4989	0.99908	0.9991	1.0	18847	0	-0.4989
SIPA1L1	3	0.00092053	0.0026443	0.602111	82	1	-0.078314	0.91998	0.92004	1.0	17217	0	-0.078314
DHDDS	3	0.00093489	0.0026904	0.605316	83	2	-1.0679	0.78476	0.78478	1.0	14572	0	-1.0679
POM121L12	3	0.00097102	0.0027842	0.619045	84	2	-0.70414	0.15278	0.24732	1.0	4536	1	-0.70414
SLC34A1	3	0.00099082	0.0028382	0.623705	85	3	-0.55207	0.99901	0.99903	1.0	18846	0	-0.55207
CLHC1	3	0.0010037	0.0028717	0.623819	86	3	-0.52185	0.999	0.99902	1.0	18845	0	-0.52185
THG1L	3	0.0010239	0.0029377	0.625042	87	3	-0.55456	0.99898	0.999	1.0	18844	0	-0.55456
KRT6A	3	0.0010257	0.0029435	0.625042	88	3	-0.29243	0.9774	0.97758	1.0	18383	0	-0.29243
DNTTIP1	3	0.0010463	0.0030116	0.632398	89	3	-0.6529	0.9983	0.99835	1.0	18823	0	-0.6529
PGBD5	3	0.0010783	0.003097	0.638775	90	1	-0.02397	0.56919	0.58095	1.0	10648	1	-0.02397
DOCK2	3	0.0010819	0.0031095	0.638775	91	3	-1.0745	0.99892	0.99895	1.0	18843	0	-1.0745
RNF222	3	0.0011033	0.0031661	0.643405	92	3	-0.64638	0.99715	0.99718	1.0	18800	0	-0.64638
PRAMEF11	2	0.0011317	0.0021592	0.562135	93	2	-0.67552	0.99887	0.99881	1.0	18842	0	-0.67552
ZSCAN5B	3	0.0011666	0.0033411	0.655437	94	3	-0.48827	0.99883	0.99886	1.0	18841	0	-0.48827
GOSR1	3	0.0011748	0.0033647	0.655437	95	3	-0.4387	0.99883	0.99885	1.0	18840	0	-0.4387
ARHGAP27	3	0.0011834	0.0033877	0.655437	96	1	-0.080994	0.17905	0.2824	1.0	5183	1	-0.080994
COL4A3BP	3	0.0011958	0.0034207	0.655437	97	3	-0.77362	0.98629	0.98645	1.0	18558	0	-0.77362
CCR6	3	0.001196	0.0034213	0.655437	98	3	-0.50739	0.9988	0.99884	1.0	18839	0	-0.50739
NDUFB1	3	0.001236	0.0035292	0.655437	99	1	0.030962	0.72836	0.72853	1.0	13464	0	0.030962
JCHAIN	3	0.0012389	0.003536	0.655437	100	3	-0.48115	0.99876	0.9988	1.0	18838	0	-0.48115
MED23	3	0.0012407	0.0035423	0.655437	101	3	-0.68673	0.99876	0.99879	1.0	18837	0	-0.68673
CAPNS1	3	0.0012419	0.0035439	0.655437	102	3	-0.52163	0.99876	0.99879	1.0	18836	0	-0.52163
CUL1	3	0.0012775	0.0036387	0.655437	103	3	-0.69933	0.99872	0.99876	1.0	18835	0	-0.69933
DDX60L	3	0.0012886	0.0036696	0.655437	104	1	-0.082172	0.87513	0.87526	1.0	16338	0	-0.082172
SLC25A36	3	0.0013092	0.003723	0.655437	105	2	-1.3048	0.6444	0.64617	1.0	11920	1	-1.3048
HHLA1	3	0.0013114	0.0037345	0.655437	106	3	-0.62002	0.98745	0.9876	1.0	18584	0	-0.62002
CABP5	3	0.0013266	0.0037754	0.655437	107	2	-0.71964	0.20699	0.31915	1.0	5852	1	-0.71964
COL23A1	3	0.0013533	0.0038419	0.655437	108	3	-0.52875	0.99865	0.99869	1.0	18833	0	-0.52875
CITED1	3	0.0013606	0.0038629	0.655437	109	2	-0.68308	0.92672	0.92685	1.0	17339	0	-0.68308
MAP2K1	3	0.0013873	0.0039284	0.655437	110	2	-0.65247	0.86563	0.86567	1.0	16153	0	-0.65247
SPTLC2	3	0.0013874	0.0039289	0.655437	111	3	-0.77184	0.99861	0.99865	1.0	18832	0	-0.77184
LIMS2	3	0.0013937	0.0039467	0.655437	112	2	-0.5816	0.95122	0.95149	1.0	17835	0	-0.5816
LHX9	3	0.0014074	0.0039808	0.655437	113	2	-0.53642	0.037511	0.088207	0.983022	1688	1	-0.53642
NSD2	3	0.0014164	0.0040044	0.655437	114	3	-0.63631	0.99858	0.99862	1.0	18831	0	-0.63631
EPHA10	3	0.0014288	0.0040374	0.655437	115	3	-0.50277	0.98182	0.98199	1.0	18463	0	-0.50277
CCDC151	3	0.0014434	0.0040782	0.655437	116	3	-0.39751	0.99856	0.99859	1.0	18830	0	-0.39751
RTP2	3	0.0014463	0.0040876	0.655437	117	2	-0.35713	0.41431	0.4676	1.0	8529	1	-0.35713
GBA	3	0.0014478	0.0040924	0.655437	118	3	-0.56764	0.99855	0.99858	1.0	18829	0	-0.56764
OR10X1	3	0.0014647	0.0041416	0.65775	119	3	-0.63031	0.99854	0.99857	1.0	18828	0	-0.63031
KCNE4	3	0.0014821	0.0041856	0.6592	120	3	-0.43668	0.99852	0.99855	1.0	18827	0	-0.43668
RNF135	3	0.0015096	0.0042778	0.668153	121	3	-0.42148	0.99849	0.99853	1.0	18826	0	-0.42148
HNRNPA0	3	0.0015301	0.004337	0.670651	122	2	-1.1797	0.78845	0.78854	1.0	14644	0	-1.1797
PCDHB7	3	0.0015395	0.0043648	0.670651	123	2	-0.9125	0.58961	0.59788	1.0	10972	1	-0.9125
KRT6B	3	0.0015514	0.004402	0.670912	124	3	-0.24204	0.97623	0.97642	1.0	18361	0	-0.24204
RHOD	3	0.0016035	0.0045518	0.688198	125	2	-0.66215	0.65164	0.6528	1.0	12044	1	-0.66215
PNPLA2	3	0.0016575	0.0047074	0.701187	126	3	-0.54578	0.99834	0.99838	1.0	18824	0	-0.54578
GNMT	3	0.0016933	0.004818	0.701187	127	2	-0.61139	0.6521	0.65324	1.0	12057	1	-0.61139
ADCY5	3	0.0017157	0.0048724	0.701187	128	3	-0.48516	0.99828	0.99833	1.0	18822	0	-0.48516
HBM	3	0.0017292	0.0049081	0.701187	129	2	-0.71138	0.84325	0.84328	1.0	15709	0	-0.71138
RABGAP1	3	0.0017369	0.0049311	0.701187	130	3	-0.45116	0.99826	0.9983	1.0	18821	0	-0.45116
CLCN6	3	0.0017418	0.0049421	0.701187	131	3	-0.46485	0.99826	0.9983	1.0	18820	0	-0.46485
CHST15	3	0.0017479	0.0049584	0.701187	132	2	-0.59556	0.94554	0.94575	1.0	17700	0	-0.59556
MAPK3	3	0.0017575	0.0049866	0.701187	133	3	-0.7786	0.99824	0.99828	1.0	18819	0	-0.7786
SPAG11B	3	0.0017654	0.0050113	0.701187	134	2	-0.78234	0.82436	0.82435	1.0	15360	0	-0.78234
DTNBP1	3	0.0017736	0.0050348	0.701187	135	3	-0.48986	0.99823	0.99827	1.0	18818	0	-0.48986
PCGF5	3	0.001778	0.0050458	0.701187	136	2	-0.63208	0.60872	0.61428	1.0	11297	1	-0.63208
MFHAS1	3	0.0018109	0.0051375	0.705713	137	2	-1.0047	0.39276	0.4534	1.0	8263	1	-1.0047
CEP85L	3	0.0018198	0.0051611	0.705713	138	2	-1.0762	0.90851	0.90861	1.0	16996	0	-1.0762
TMED9	3	0.0018297	0.0051904	0.705713	139	3	-0.88356	0.99817	0.99821	1.0	18817	0	-0.88356
SRPRB	3	0.0018503	0.0052465	0.708239	140	3	-0.47737	0.99815	0.9982	1.0	18816	0	-0.47737
DYNC2LI1	3	0.0018668	0.0052915	0.709255	141	3	-0.38816	0.97402	0.97418	1.0	18310	0	-0.38816
LY6G5B	3	0.0018962	0.0053701	0.714719	142	3	-0.51706	0.9981	0.99815	1.0	18815	0	-0.51706
XPR1	3	0.0019193	0.0054377	0.718653	143	2	-0.94262	0.56656	0.57882	1.0	10611	1	-0.94262
ZNF570	3	0.0019613	0.0055614	0.727996	144	3	-0.68646	0.99779	0.99784	1.0	18810	0	-0.68646
FLVCR2	3	0.0019719	0.0055854	0.727996	145	1	-0.032053	0.78075	0.78083	1.0	14506	0	-0.032053
PGGT1B	3	0.0020065	0.0056698	0.729082	146	3	-0.53246	0.97367	0.97383	1.0	18301	0	-0.53246
TMX1	3	0.002008	0.005675	0.729082	147	3	-0.8417	0.99799	0.99805	1.0	18814	0	-0.8417
LMO4	3	0.0020226	0.0057196	0.729082	148	3	-0.63191	0.98717	0.98732	1.0	18578	0	-0.63191
SAMD13	3	0.0020374	0.0057573	0.729082	149	2	-0.77531	0.13764	0.22709	1.0	4177	1	-0.77531
CFLAR	3	0.0020595	0.0058128	0.729082	150	3	-0.63076	0.99794	0.998	1.0	18812	0	-0.63076
FOXD4L6	3	0.002082	0.0058731	0.729082	151	2	-0.38567	0.55782	0.57176	1.0	10484	1	-0.38567
RNF8	3	0.0020929	0.0059024	0.729082	152	2	-0.69745	0.085273	0.15578	1.0	2852	1	-0.69745
RPL22	3	0.0020929	0.0059024	0.729082	153	3	-0.58233	0.99534	0.99545	1.0	18758	0	-0.58233
ZNF639	3	0.0021295	0.0060014	0.736499	154	1	0.7617	0.0010021	0.002868	0.356598	151	2	0.7617
PAFAH1B1	3	0.0021797	0.0061387	0.748483	155	3	-0.39767	0.99782	0.99787	1.0	18811	0	-0.39767
GABRR1	3	0.0022021	0.0062031	0.751491	156	2	-0.5217	0.40356	0.46045	1.0	8396	1	-0.5217
HAP1	3	0.0022232	0.0062623	0.753831	157	3	-0.73849	0.98952	0.98964	1.0	18629	0	-0.73849
DUS4L	3	0.0022883	0.0064263	0.76117	158	3	-0.73272	0.98327	0.98342	1.0	18497	0	-0.73272
RPEL1	3	0.0022917	0.0064368	0.76117	159	3	-0.4748	0.99771	0.99775	1.0	18809	0	-0.4748
STK36	3	0.002294	0.0064441	0.76117	160	2	-0.83262	0.73641	0.7366	1.0	13621	0	-0.83262
KIAA1551	3	0.0023776	0.0066825	0.781008	161	2	-0.81105	0.40849	0.46372	1.0	8459	1	-0.81105
CD36	3	0.0023965	0.0067265	0.781008	162	2	-0.63237	0.92692	0.92704	1.0	17346	0	-0.63237
LRP12	3	0.002417	0.0067799	0.781008	163	2	-0.78557	0.76905	0.7693	1.0	14281	0	-0.78557
CALCOCO2	3	0.002425	0.0067993	0.781008	164	3	-0.43168	0.99757	0.9976	1.0	18807	0	-0.43168
TBL1XR1	3	0.0024316	0.0068187	0.781008	165	3	-0.60732	0.98297	0.98312	1.0	18486	0	-0.60732
IRGC	3	0.0024447	0.0068606	0.781075	166	1	-0.0022629	0.38227	0.44675	1.0	8145	1	-0.0022629
ZNF438	3	0.0024632	0.0069025	0.781141	167	3	-0.62919	0.99754	0.99756	1.0	18806	0	-0.62919
TIMMDC1	3	0.002525	0.007078	0.789918	168	2	-0.5604	0.90729	0.90739	1.0	16975	0	-0.5604
GSTM5	3	0.0025355	0.0071	0.789918	169	2	-0.64464	0.85337	0.85339	1.0	15904	0	-0.64464
SLC3A2	3	0.0025498	0.0071398	0.789918	170	2	-0.56761	0.4764	0.51035	1.0	9295	1	-0.56761
TPMT	3	0.0025941	0.0072682	0.789918	171	3	-0.84354	0.99741	0.99744	1.0	18805	0	-0.84354
SAMSN1	3	0.0026004	0.0072792	0.789918	172	2	-0.68964	0.81683	0.81678	1.0	15196	0	-0.68964
PROKR1	3	0.0026548	0.0074301	0.789918	173	2	-0.30447	0.80634	0.80624	1.0	14997	0	-0.30447
TAF8	3	0.0026582	0.0074395	0.789918	174	3	-0.69382	0.99734	0.99738	1.0	18804	0	-0.69382
RNF220	3	0.0026615	0.00745	0.789918	175	2	-0.50706	0.91859	0.91868	1.0	17194	0	-0.50706
PRRC2B	3	0.0026707	0.0074725	0.789918	176	2	-0.49811	0.68355	0.68352	1.0	12636	1	-0.49811
SYK	3	0.0026739	0.0074783	0.789918	177	3	-0.35209	0.99733	0.99736	1.0	18803	0	-0.35209
NEUROG2	3	0.0026937	0.0075286	0.789918	178	3	-0.48903	0.99731	0.99734	1.0	18802	0	-0.48903
ADGRL2	3	0.0026985	0.0075453	0.789918	179	3	-0.47885	0.99545	0.99557	1.0	18762	0	-0.47885
SLC35A1	3	0.0027074	0.0075652	0.789918	180	2	-0.22042	0.27462	0.38125	1.0	6964	1	-0.22042
ASS1	3	0.0027698	0.0077376	0.803476	181	3	-0.46485	0.99723	0.99726	1.0	18801	0	-0.46485
NDRG1	3	0.0028188	0.0078748	0.811159	182	2	-0.7742	0.46392	0.50144	1.0	9139	1	-0.7742
PLIN1	3	0.0028299	0.0079026	0.811159	183	2	-0.72945	0.50049	0.52781	1.0	9644	1	-0.72945
ASAH2	3	0.0028425	0.0079403	0.811159	184	2	-0.65585	0.82298	0.82302	1.0	15328	0	-0.65585
KAT6A	3	0.0028649	0.0080063	0.813505	185	2	-0.65414	0.6709	0.67099	1.0	12390	1	-0.65414
ALG13	3	0.0029095	0.0081373	0.820334	186	2	-0.81468	0.27364	0.38071	1.0	6953	1	-0.81468
PRKCQ	3	0.0029174	0.0081604	0.820334	187	2	-0.20049	0.78616	0.78622	1.0	14601	0	-0.20049
TMEM185B	3	0.0031002	0.0086434	0.859535	188	3	-0.34872	0.9969	0.99694	1.0	18797	0	-0.34872
IMMP2L	3	0.00318	0.0088619	0.859535	189	2	-0.47805	0.70623	0.70633	1.0	13055	0	-0.47805
CARD11	3	0.003182	0.008866	0.859535	190	3	-0.8204	0.99682	0.99687	1.0	18796	0	-0.8204
SEC61B	3	0.0031951	0.0088943	0.859535	191	3	-0.68825	0.9895	0.98962	1.0	18628	0	-0.68825
TEX33	3	0.0032086	0.0089237	0.859535	192	2	-0.64382	0.52488	0.54608	1.0	9990	1	-0.64382
STMND1	3	0.0032339	0.0089907	0.859535	193	2	-0.65082	0.53216	0.55168	1.0	10105	1	-0.65082
SPCS2	3	0.003285	0.0091364	0.859535	194	2	-1.2023	0.72931	0.72946	1.0	13481	0	-1.2023
KLHL6	3	0.0032864	0.00914	0.859535	195	2	-0.48042	0.8343	0.83429	1.0	15537	0	-0.48042
SFT2D1	3	0.0032867	0.0091406	0.859535	196	3	-0.46392	0.99671	0.99678	1.0	18795	0	-0.46392
PJA1	3	0.0032937	0.0091558	0.859535	197	3	-0.55196	0.99671	0.99677	1.0	18794	0	-0.55196
PPP3R1	3	0.003324	0.0092391	0.859535	198	3	-0.6221	0.98382	0.98398	1.0	18506	0	-0.6221
C12orf56	3	0.0033308	0.0092569	0.859535	199	3	-0.47829	0.97756	0.97774	1.0	18386	0	-0.47829
PLD5	3	0.0033411	0.0092867	0.859535	200	2	-0.8385	0.91267	0.91278	1.0	17086	0	-0.8385
CTAGE8	3	0.0033599	0.0093344	0.859535	201	3	-0.58453	0.99664	0.99671	1.0	18793	0	-0.58453
RPN2	3	0.0033807	0.0093873	0.859535	202	2	-0.44945	0.89049	0.89055	1.0	16658	0	-0.44945
BICD1	3	0.00339	0.0094067	0.859535	203	2	-0.42888	0.098031	0.17325	1.0	3189	1	-0.42888
GBX1	3	0.0033943	0.0094161	0.859535	204	3	-0.41867	0.99661	0.99668	1.0	18792	0	-0.41867
ADGRE2	3	0.003433	0.0095204	0.859535	205	3	-0.45554	0.99657	0.99663	1.0	18791	0	-0.45554
VEGFC	3	0.0034637	0.0096042	0.859535	206	3	-0.44942	0.99654	0.9966	1.0	18790	0	-0.44942
GLRA2	3	0.0034806	0.0096461	0.859535	207	3	-0.4302	0.99652	0.99658	1.0	18789	0	-0.4302
CX3CL1	3	0.0035044	0.0097163	0.859535	208	3	-0.84674	0.98339	0.98354	1.0	18498	0	-0.84674
C10orf91	3	0.0035084	0.0097284	0.859535	209	3	-0.30271	0.99649	0.99655	1.0	18788	0	-0.30271
PHYKPL	3	0.0035346	0.009808	0.859535	210	3	-0.60946	0.99647	0.99653	1.0	18787	0	-0.60946
MED24	3	0.0035466	0.0098394	0.859535	211	3	-0.52799	0.98456	0.98473	1.0	18523	0	-0.52799
DDX60	3	0.0035475	0.0098421	0.859535	212	2	-0.58854	0.43514	0.48157	1.0	8791	1	-0.58854
ALDH3B2	3	0.0035566	0.0098635	0.859535	213	3	-0.35308	0.99644	0.99651	1.0	18786	0	-0.35308
AMIGO1	3	0.0035683	0.0098965	0.859535	214	3	-0.5198	0.99643	0.99649	1.0	18785	0	-0.5198
HABP4	3	0.0035909	0.0099505	0.859535	215	2	-0.71138	0.060914	0.1218	1.0	2267	1	-0.71138
HDGFRP3	3	0.0035909	0.0099505	0.859535	216	3	-0.85081	0.99127	0.99136	1.0	18668	0	-0.85081
BPIFB6	3	0.0036	0.0099746	0.859535	217	1	-0.1354	0.52525	0.54636	1.0	9996	1	-0.1354
PITPNA	3	0.00364	0.010083	0.859535	218	3	-0.65317	0.99636	0.99642	1.0	18784	0	-0.65317
PPCS	3	0.0036581	0.010135	0.859535	219	3	-0.33975	0.99634	0.99641	1.0	18783	0	-0.33975
UGGT2	3	0.0036713	0.010165	0.859535	220	3	-0.48679	0.99633	0.9964	1.0	18782	0	-0.48679
AGTR1	3	0.003705	0.010254	0.859535	221	2	-0.43862	0.6297	0.63275	1.0	11678	1	-0.43862
LRIG1	3	0.0037575	0.010402	0.859535	222	1	0.0011204	0.82638	0.82633	1.0	15398	0	0.0011204
FOXK2	3	0.0038	0.010508	0.859535	223	2	-0.49946	0.8912	0.89129	1.0	16671	0	-0.49946
OR2A7	2	0.003804	0.0073227	0.789918	224	2	-0.779	0.9962	0.99606	1.0	18781	0	-0.779
APOBEC3G	3	0.0038261	0.010584	0.859535	225	3	-0.47002	0.99617	0.99625	1.0	18780	0	-0.47002
IQUB	3	0.0038461	0.010642	0.859535	226	3	-0.52488	0.99615	0.99623	1.0	18779	0	-0.52488
ADM5	3	0.0038587	0.010664	0.859535	227	2	-0.89811	0.62684	0.6302	1.0	11618	1	-0.89811
PRKAR1A	3	0.0038624	0.010672	0.859535	228	1	-0.029979	0.70191	0.70195	1.0	12973	0	-0.029979
PCYT2	3	0.003863	0.010673	0.859535	229	3	-0.83541	0.99614	0.99621	1.0	18778	0	-0.83541
SDF2	3	0.0038818	0.010732	0.859535	230	3	-0.42706	0.99612	0.9962	1.0	18776	0	-0.42706
